date,return,n_stocks,avg_pred_return,avg_true_return,cumulative_return
2024-04-10,-0.040176602940589674,20,0.006349796044987426,-0.03917660294058967,0.9598233970594103
2024-04-11,-0.04785984890427882,20,0.006062912005805873,-0.04685984890427882,0.9138863943013553
2024-04-12,-0.034756624328794665,20,0.006265287345583373,-0.033756624328794664,0.8821227882154264
2024-04-15,-0.0342200696442023,20,0.028542888921038678,-0.0332200696442023,0.8519364849679566
2024-04-16,0.08492077743385791,20,0.030441370323685452,0.08592077743385791,0.9242835935957037
2024-04-17,0.008332067778995485,20,0.03365960209604153,0.009332067778995484,0.9319847871445567
2024-04-18,0.03295126748959127,20,0.03403521488922842,0.03395126748959127,0.9626948671619868
2024-04-19,0.03964815776024089,20,0.02644780451456446,0.04064815776024089,1.0008639451301995
2024-04-22,0.07120886955788966,20,0.035015278883987325,0.07220886955788966,1.0721343352441706
2024-04-23,0.036591564555268685,20,0.03357092697448758,0.037591564555268686,1.111365407984178
2024-04-24,0.041669745844440526,20,0.030680477928563644,0.042669745844440526,1.1576757220751817
2024-04-25,0.06009910331588804,20,0.027608203498613648,0.06109910331588804,1.2272509949024732
2024-04-26,0.043518668075479,20,0.029644077786856786,0.044518668075479,1.2806593235949355
2024-04-29,0.011332189105333786,20,0.039309876601476765,0.012332189105333785,1.295171997229422
2024-04-30,0.009855415014553916,20,0.032800040437582716,0.010855415014553916,1.3079364547773467
2024-05-06,-0.03226633685241258,20,0.025843264061517483,-0.03126633685241258,1.2657341365459505
2024-05-07,-0.04391074266287504,20,0.029415080505586777,-0.04291074266287504,1.2101548105964648
2024-05-08,-0.028148744576387275,20,0.02550207068415753,-0.027148744576387274,1.1760904719350986
2024-05-09,-0.005558033885203622,20,0.02608900875340256,-0.004558033885203622,1.1695537212400182
2024-05-10,0.003693873413324989,20,0.026782177530390028,0.004693873413324989,1.173873904636362
2024-05-13,0.054429569114199806,20,0.026441629826458528,0.05542956911419981,1.2377673554601225
