feature,importance
hist_vol_20,0.08527220185745747
amplitude,0.07554875838120391
auto_volatility_20,0.07366662849819283
auto_volatility_20_1,0.06478704864540885
turnover_rate,0.04929352507556493
amount_ratio,0.0491786692771412
hist_vol_60,0.04567408502776451
amount,0.044042045465711645
auto_kurtosis_20_1,0.03477715844246689
auto_kurtosis_20,0.03442941912063172
pre_close,0.032034878435769076
low,0.030781381226504787
vol,0.030156536477012823
open,0.029952536862956736
pct_chg,0.02956306726006026
auto_amount_ma_30_1,0.02918109101879784
daily_return,0.02796026860988026
close,0.027710402835596254
auto_skew_30_1,0.02760578535727563
high,0.026239699046744388
auto_amount_ma_30,0.026093121404472275
auto_quantile_0.75_30,0.017165191381225634
auto_quantile_0.75_30_1,0.014164682431733517
auto_amount_ma_60,0.013697069522737894
auto_volatility_60,0.013131908704410706
auto_volatility_60_1,0.010849290358088104
auto_open_ratio_60_1,0.01006470508135898
auto_open_ratio_60,0.009934366955088099
auto_open_log_return_60_1,0.009782832142205166
auto_std_60,0.00968596009097414
auto_open_log_return_60,0.009365319157725462
auto_std_60_1,0.008210365847837926
