,body_ratio_processed,hist_vol_20_processed,atr_14_processed,amihud_processed,vr_5_processed
2024-01-02,-0.0006312136399922927,0.006732465378164831,-0.00205620834997584,0.010317241801408717,-0.0020076143920759715
2024-01-03,0.003554941364613845,-0.0030575085229410017,-0.007412801948679966,-0.005944152483515262,-0.0007632673242508348
2024-01-04,-0.0013683484767085816,-0.0022243296457784985,-0.0008871220937097497,-0.004576997849784552,0.0018491577143375532
2024-01-05,-0.011668505144747513,-0.009302564791117563,-0.0035354668209496166,-0.015129232035699582,0.005493006050523184
2024-01-08,-0.0075387576836413615,-0.0056276808539363985,-0.006598197001976375,-0.013652781012160373,0.0008215459016801555
2024-01-09,-0.0035485947020575457,-0.008892168614637262,-0.003957316125718697,-0.0025655442777571635,-0.0025342872657339085
2024-01-10,-0.008800649453499945,-0.0038873224088466665,0.004141210357417085,-0.00801295527047207,-0.0008098777796864857
2024-01-11,0.00771277225661907,0.006847093791206056,0.000767128454904898,0.012182792197105805,0.002583990801937466
2024-01-12,-0.008114409041184843,-0.009069192246800048,-0.006183448844329618,-0.013606254483801568,0.0031456661382143107
2024-01-15,-0.002942211583251969,-0.006868541719379316,-0.006153356702078215,-0.008023223887159807,0.00346524461339302
2024-01-16,0.0038508988738509037,0.001392216726418727,0.00363400265690563,0.005703064073766695,0.004009723290598151
2024-01-17,-0.010333845878006247,-0.004702072132675407,-0.003115630610393351,-0.01017715871721258,0.006087984469460747
2024-01-18,0.009792646088498728,0.0051192646364813695,0.008027371391104444,-0.0027641306896288554,-0.0038622561530207676
2024-01-19,-0.006926378288374472,0.0017738242926307593,0.002900552651566869,-0.0030198446218137275,0.0052796716628997695
2024-01-22,-0.017423707754343647,-0.009555404818804425,-0.0007195368438695673,-0.01888323334251839,-0.0047546400475135045
2024-01-23,0.005273691196652455,0.0004761581176789082,0.0018908868510360002,-0.003173712934586392,-0.006128696473037503
2024-01-24,0.013013955446411063,-0.001226185399924243,-0.007200821078110327,0.012582531491649056,0.002429705594281308
2024-01-25,0.01791095578994954,0.003702700977619424,-0.0021983101614894327,0.015698651791753712,0.009194830576310476
2024-01-26,-0.0035085446131241736,-0.0042997693291448565,-0.009106116919115306,-0.004230253278444079,0.009721190064782228
2024-01-29,-0.01499111488864041,-0.012870864928166172,-0.0040688558354881185,-0.018939579757574893,0.004380407996121136
2024-01-30,-0.010853824522143469,-0.00667087115001336,-0.000947145807487067,-0.015495701676759392,-0.006107803994970516
2024-01-31,-0.020504152562117246,-0.014399067566655382,0.00022299202186985435,-0.02533223134737623,-0.008993991033948887
2024-02-01,-0.009506112607888783,-0.00511102392517919,0.003637319318925013,-0.014451450868730908,-0.0027939836612913367
2024-02-02,-0.02191343587095159,-0.017511365139307827,-0.005653765290561187,-0.023040824442064175,-0.014681093867764202
2024-02-05,-0.015995211297685646,-0.012001839718027521,0.004916232396230449,-0.024673403881237066,0.001714416841841779
2024-02-06,0.037191323335612606,0.0050229440262812885,0.004452303096173153,0.0032472924220980884,-0.02044994475844766
2024-02-07,0.006399996306725105,0.0025241074639943094,-0.0027845686354391465,-0.02482322131962617,-0.003669476929540257
2024-02-08,0.0251187589854726,0.02104530433995443,0.0015382963186600387,0.030752591789010804,-0.0008382056587747089
2024-02-19,0.010613835433989333,0.010423590301889708,0.002781167484330231,0.026889211062415836,0.019594182049229174
2024-02-20,0.014004750987444302,0.006550893215356713,0.0034654930824833913,0.020162467152470102,0.014276902760425902
2024-02-21,0.019367603618839307,0.007600777658375812,-0.0012498421884077088,0.01938342834052187,0.007295834975792661
2024-02-22,0.013599556371010837,0.012211385942533893,0.0009606264822409108,0.016697455579473094,0.00348563982675616
2024-02-23,0.014516747652879702,0.0155987775190781,0.0012146562236005798,0.021311988061692447,0.01194017135508664
2024-02-26,0.0024667304539274988,0.011321370317512111,0.0038988396060375425,0.018152087060414764,0.010738584386923093
2024-02-27,0.009497785116933331,0.008427593307734196,0.00642585657433339,0.01904198253979037,0.009282743916289263
2024-02-28,-0.025169506426002342,-0.01840417624397958,-0.002757660350688882,-0.02275127060341447,0.0008858636477801641
2024-02-29,0.010907823399507988,0.007955291772627058,0.006036980621402148,0.015195246471617229,0.006302683800580903
2024-03-01,0.00879377903703041,0.005084487997308905,0.0021147944305907624,0.01198738136690053,0.007875539794326997
2024-03-04,-0.0022277615314928623,-0.0007662023905637833,0.0017338889293825525,-0.0010074400355241906,0.012455870702637093
2024-03-05,-0.008420263729643579,-0.008721844320914088,-0.002191261318616215,-0.012634592093621777,0.008816192287698484
2024-03-06,0.014558403968720952,0.0075477122826474174,0.001956695289522688,0.01576388525905099,0.0162138028912557
2024-03-07,-0.01379934290292604,-0.005699018036012272,-0.005174009878978161,-0.0016784608531507652,0.01595803977751634
2024-03-08,0.010873839316443297,0.0015616664651145011,0.0015896982103226636,0.007386951868563565,-0.0082978842852496
2024-03-11,0.010638919143454531,0.0069685998811618985,0.0029048771281385273,0.017861477862824885,0.015709908319663738
2024-03-12,0.0025404383176331783,0.004919859442908802,-0.0008454417241366839,0.008984851763951451,0.012104425112069408
2024-03-13,-0.0003136490923303148,0.0014348724513599568,0.0012035391206599638,0.004055347609939493,0.009501610534006905
2024-03-14,-0.001415047801723188,-6.274482783078589e-06,-0.002326379736153686,-0.0032410454392318823,0.0022432635930788756
2024-03-15,0.01157425988910459,0.0020041993423985374,0.0016780616232892566,0.015040849573932811,0.011261149417178911
2024-03-18,0.009190114971409967,0.007384674389658753,0.0038065707541690614,0.01753198428666946,0.007168967175177377
2024-03-19,-0.002794745223535951,-0.0008738187803162587,-0.00032095725754157517,0.001165659252320233,0.012363919708537454
2024-03-20,0.009769739946458748,0.004985919991644991,-0.001094063828791347,0.01199749518757121,0.008318750289022875
2024-03-21,-0.005101362654018973,-0.0008666679357086222,-0.0021781691030519123,-0.007049841173919907,0.0004825211652604353
2024-03-22,-0.01013516382539703,-0.005199197416755062,-0.0001182626713189611,-0.010847536279453226,0.0002466237534649184
2024-03-25,-0.012437006094793635,-0.012091614643896286,-0.006293832152781232,-0.018344795026699598,0.003866407440569859
2024-03-26,0.010944654263688357,-0.003391329125424907,-0.004724892528138251,0.004278741844524266,0.005967080979183198
2024-03-27,-0.016701503294746595,-0.008373042840426595,0.0018570274957650282,-0.018401020445089643,0.006343769727167996
2024-03-28,0.013533365544001402,0.00846879473259075,0.002285024672065232,0.015598924741452774,-0.0008705386368890313
2024-03-29,0.0075010460510687195,8.313451746197143e-05,0.0003598926389871365,0.012573163880515471,0.007371169941429
2024-04-01,0.010129649692230198,0.00439365742448233,-0.0012136877059769576,0.015819822366734036,0.0025415529271958013
2024-04-02,-0.0001223242324659419,-0.008638215065906332,-0.0067297762655832895,0.0005297542138430792,0.010002434984919824
2024-04-03,-0.00588894986917939,-0.009583517747335296,-0.005996464329214235,-0.007447258937870346,0.011755359514543496
