,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,Win Rate
IR Weighted,2.5947157870495685,2.832196650275964,0.5885883037398039,4.811846637591337,-0.27734603090205495,0.5625
Equal Weighted,1.585837282966605,1.6464557489887128,0.49158654174847516,3.3492693740813135,-0.29171145198664405,0.6016260162601627
GA Optimized,4.330142412709467,4.925635591978397,0.4565550827072916,10.788699498799227,-0.182918209666455,0.6075949367088608
SA Optimized,4.636939640283058,5.240543389041945,0.46041791316531056,11.382144871414585,-0.1837938266705516,0.6008403361344538
