factor,ir_weight,equal_weight
body_ratio_processed,1.1780587437234709,0.125
hist_vol_20_processed,1.113761891987196,0.125
atr_14_processed,0.9694026958397717,0.125
amihud_processed,0.306271840384527,0.125
vr_5_processed,-0.11493141618525518,0.125
upper_shadow_processed,-0.5500679719013306,0.125
lower_shadow_processed,-0.882412885032318,0.125
volume_price_corr_processed,-1.020082898816062,0.125
