factor,ga_weights,sa_weights
body_ratio_processed,0.00041046180318310833,0.0
hist_vol_20_processed,0.0006599637927718679,0.0
atr_14_processed,0.01568853475133394,0.0
amihud_processed,0.002469585148073338,0.0
vr_5_processed,0.9807704535876421,0.9999990558515773
