date,nav
2020-04-07,1.0294163067765643
2020-04-08,1.0550129080420554
2020-04-09,1.0964792313801544
2020-04-10,1.051206287303103
2020-04-13,1.0176197648956145
2020-04-14,1.0208615709289928
2020-04-15,1.0647236698509535
2020-04-16,1.0678117731413073
2020-04-17,1.063471158392339
2020-04-20,1.0889905739722088
2020-04-21,1.1208735526686824
2020-04-22,1.1221407051537062
2020-04-23,1.145782850521294
2020-04-24,1.1487361964448097
2020-04-27,1.1110198650824759
2020-04-28,1.0185166435596102
2020-04-29,0.9696616514769727
2020-04-30,1.0020445967240428
2020-05-06,1.057272806685994
2020-05-07,1.0872054562573796
2020-05-08,1.0834935328538793
2020-05-11,1.0851034061000517
2020-05-12,1.1189573273544748
2020-05-13,1.12684252230835
2020-05-14,1.1603406722288394
2020-05-15,1.1616606297881076
2020-05-18,1.0915196361084205
2020-05-19,1.1086184510560073
2020-05-20,1.1420122686047858
2020-05-21,1.132814047478255
2020-05-22,1.1349486668997624
2020-05-25,1.0979641642921147
2020-05-26,1.1018653495179622
2020-05-27,1.1054058909572118
2020-05-28,1.0762755976405165
2020-05-29,1.1088666821134452
2020-06-01,1.0996245730038168
2020-06-02,1.0470441785701567
2020-06-03,1.0833718353541495
2020-06-04,1.0969908360097398
2020-06-05,1.1253203781475967
2020-06-08,1.1032177415093283
2020-06-09,1.1209881021198578
2020-06-10,1.1417087655003748
2020-06-11,1.1604179168911175
2020-06-12,1.165082416189984
2020-06-15,1.1863393526540613
2020-06-16,1.1890908759900325
2020-06-17,1.2131311754821787
2020-06-18,1.2000031063210612
2020-06-19,1.1947520297699632
2020-06-22,1.2302360094935196
2020-06-23,1.2414690115079698
2020-06-24,1.151474754691393
2020-06-29,1.1795148752062328
2020-06-30,1.188651748296029
2020-07-01,1.0262492846476763
2020-07-02,1.0317172939332386
2020-07-03,1.040060648030548
2020-07-06,0.9333745840615737
2020-07-07,1.0022201759962606
2020-07-08,1.0183522213224903
2020-07-09,1.0580242609088748
2020-07-10,1.1701608134288373
2020-07-13,1.22476200615421
2020-07-14,1.2597637990159614
2020-07-15,1.2694729306305519
2020-07-16,1.2317236170018153
2020-07-17,1.234491686662282
2020-07-20,1.2017792076189389
2020-07-21,1.2558640639501437
2020-07-22,1.2734022246630499
2020-07-23,1.2888787562653103
2020-07-24,1.2599145930486093
2020-07-27,1.268785498197187
2020-07-28,1.2860717410912483
2020-07-29,1.3068672526961729
2020-07-30,1.3463551234361508
2020-07-31,1.369729478926016
2020-08-03,1.3959177643213505
2020-08-04,1.3698115304652019
2020-08-05,1.407631653449995
2020-08-06,1.4089035711877822
2020-08-07,1.4186837408912965
2020-08-10,1.3604364440330197
2020-08-11,1.328920610315995
2020-08-12,1.2169875344123908
2020-08-13,1.2443590417972556
2020-08-14,1.335233752244029
2020-08-17,1.3264047241747399
2020-08-18,1.4102765013183187
2020-08-19,1.423132976176055
2020-08-20,1.384567958525317
2020-08-21,1.413552744252635
2020-08-24,1.4435559862260499
2020-08-25,1.4295093087423913
2020-08-26,1.3981874201200473
2020-08-27,1.4169164056415184
2020-08-28,1.3783586630412705
2020-08-31,1.4284232146536593
2020-09-01,1.432018208610327
2020-09-02,1.4128949245425366
2020-09-03,1.3625658007999568
2020-09-04,1.3137956352783322
2020-09-07,1.2752745981745213
2020-09-08,1.3005003888473319
2020-09-09,1.3015138205496561
2020-09-10,1.1848309742927952
2020-09-11,1.2132274514690928
2020-09-14,1.2863047288611362
2020-09-15,1.2841028242980808
2020-09-16,1.2397079741581465
2020-09-17,1.246479869665725
2020-09-18,1.164696967912115
2020-09-21,1.1841997148008216
2020-09-22,1.1632865658135807
2020-09-23,1.1844730630792086
2020-09-24,1.1845902371949077
2020-09-25,1.210369482411554
2020-09-28,1.1150679300806805
2020-09-29,1.1316855476953769
2020-09-30,1.1490702934767152
2020-10-09,1.199877618063344
2020-10-12,1.2414315995140448
2020-10-13,1.2871139699402199
2020-10-14,1.29138298081887
2020-10-15,1.2911806272724498
2020-10-16,1.2820996909420688
2020-10-19,1.3022192723591322
2020-10-20,1.3280622167372478
2020-10-21,1.3094104921933476
2020-10-22,1.263985857941632
2020-10-23,1.2530444567191272
2020-10-26,1.2305122283163725
2020-10-27,1.2746009721880192
2020-10-28,1.333197919595805
2020-10-29,1.287096459867022
2020-10-30,1.2341938335209242
2020-11-02,1.1805080267803525
2020-11-03,1.207420479155356
2020-11-04,1.2030763931092368
2020-11-05,1.1448262072371433
2020-11-06,1.1197000485042299
2020-11-09,1.1454767950822287
2020-11-10,1.1639336063148102
2020-11-11,1.1081092371520618
2020-11-12,1.1141947010729312
2020-11-13,1.1589593299203098
2020-11-16,1.1751439344692622
2020-11-17,1.1166339672992687
2020-11-18,1.0620757387762298
2020-11-19,1.057824519509142
2020-11-20,1.065987982494264
2020-11-23,1.0618089887389917
2020-11-24,1.0702091056309613
2020-11-25,1.0550231032829558
2020-11-26,1.025892333624831
2020-11-27,0.974833610583091
2020-11-30,1.0302811219982853
2020-12-01,1.0454916405419956
2020-12-02,1.0341939603728274
2020-12-03,1.0479534114984956
2020-12-04,1.1167421589165554
2020-12-07,1.1615244500478379
2020-12-08,1.172732266772113
2020-12-09,1.1872489338835306
2020-12-10,1.183248626173912
2020-12-11,1.1666830850865901
2020-12-14,1.1161519476652126
2020-12-15,1.1422861234546784
2020-12-16,1.1152722782577726
2020-12-17,1.1019249320030002
2020-12-18,1.1323029537933742
2020-12-21,1.1713481324548485
2020-12-22,1.1564848934798846
2020-12-23,1.1566950663777837
2020-12-24,1.145672894801891
2020-12-25,1.138719694931835
2020-12-28,1.1181654667105712
2020-12-29,1.1053507595694037
2020-12-30,1.1168542816739584
2020-12-31,1.1164867519592547
2021-01-04,1.220448433002252
2021-01-05,1.2093989985343354
2021-01-06,1.1139965305528512
2021-01-07,1.0571320596078222
2021-01-08,0.9979435557878351
2021-01-11,0.9246125796531713
2021-01-12,0.9256505945542864
2021-01-13,0.8950426897277262
2021-01-14,0.8909902926514606
2021-01-15,0.9193998966597509
2021-01-18,0.8662905605579877
2021-01-19,0.8835163600562038
2021-01-20,0.926495531598063
2021-01-21,0.9561832368388806
2021-01-22,0.9906781456258558
2021-01-25,0.9694863538349302
2021-01-26,0.934317670625934
2021-01-27,0.9487028562254693
2021-01-28,0.987927556071732
2021-01-29,1.0023912098893646
2021-02-01,0.9830033226591086
2021-02-02,0.9748135075178868
2021-02-03,0.985148553624037
2021-02-04,0.952011096962987
2021-02-05,0.8683785947466259
2021-02-08,0.8496245260500462
2021-02-09,0.8955506951009686
2021-02-10,0.9071608590323759
2021-02-18,0.8868493640926992
2021-02-19,0.9434033175585735
2021-02-22,0.986075114077149
2021-02-23,0.9485311738777494
2021-02-24,0.9468677733466923
2021-02-25,0.7401740907284764
2021-02-26,0.7228731260861727
2021-03-01,0.7402941530111953
2021-03-02,0.748054993397521
2021-03-03,0.7561321659698198
2021-03-04,0.792112393623266
2021-03-05,0.854557088094011
2021-03-08,0.865446174219876
2021-03-09,0.8402435311414073
2021-03-10,0.8419771586282707
2021-03-11,0.8360412928357117
2021-03-12,0.8278933887774438
2021-03-15,0.8335963439846277
2021-03-16,0.77636297658874
2021-03-17,0.7955356362216794
2021-03-18,0.8023526046995322
2021-03-19,0.8650668713321215
2021-03-22,0.8653695946717906
2021-03-23,0.8754775836830078
2021-03-24,0.8986669502785577
2021-03-25,0.9021395350990243
2021-03-26,0.9148883609122592
2021-03-29,0.9120728909651695
2021-03-30,0.8762917579489312
2021-03-31,0.949797035803508
2021-04-01,0.9639826308986706
2021-04-02,0.96051234903344
2021-04-06,1.0157096456427486
2021-04-07,1.013252240506968
2021-04-08,1.0429144060300908
2021-04-09,1.0648961581245282
2021-04-12,1.078538509881767
2021-04-13,1.0869545143984505
2021-04-14,1.0674412150609967
2021-04-15,1.0743239971944523
2021-04-16,1.087223086703836
2021-04-19,1.1031509810421163
2021-04-20,1.1279385601444918
2021-04-21,1.1272505085881577
2021-04-22,1.1089172341700848
2021-04-23,1.1623370451778152
2021-04-26,1.170031456530658
2021-04-27,1.1307694117114837
2021-04-28,1.1443942069045159
2021-04-29,1.1214885360395883
2021-04-30,1.0874755949687096
2021-05-06,1.1242216751626863
2021-05-07,1.116663283707304
2021-05-10,1.1611175410075758
2021-05-11,1.1598115348593359
2021-05-12,1.2252917466375912
2021-05-13,1.2395839343187447
2021-05-14,1.2445278953733367
2021-05-17,1.2308775743796685
2021-05-18,1.2178012974127488
2021-05-19,1.2584003867923415
2021-05-20,1.2285326712694655
2021-05-21,1.2734953016549666
2021-05-24,1.333316245920787
2021-05-25,1.2929591321724923
2021-05-26,1.2720789859249777
2021-05-27,1.2836140956088569
2021-05-28,1.3047857750319616
2021-05-31,1.338600426902836
2021-06-01,1.366367427397388
2021-06-02,1.3380660178867598
2021-06-03,1.3437527500145858
2021-06-04,1.3656368251932949
2021-06-07,1.421281447906337
2021-06-08,1.4052975106791108
2021-06-09,1.4313347071929907
2021-06-10,1.4688097848250965
2021-06-11,1.5055248820577896
2021-06-15,1.5372222761990921
2021-06-16,1.47671029996714
2021-06-17,1.4760710977116946
2021-06-18,1.5542123988364005
2021-06-21,1.628905903359524
2021-06-22,1.6568817560905063
2021-06-23,1.6234846748339815
2021-06-24,1.6323226840717036
2021-06-25,1.6196125951307307
2021-06-28,1.6836882449007888
2021-06-29,1.7288588558699736
2021-06-30,1.7367413845414401
2021-07-01,1.5379721734756813
2021-07-02,1.6186093388378446
2021-07-05,1.6712817417569596
2021-07-06,1.6006397514468151
2021-07-07,1.6827545978804277
2021-07-08,1.6739287241155067
2021-07-09,1.6724497000328944
2021-07-12,1.7444504920089536
2021-07-13,1.7730251119441673
2021-07-14,1.8586220068954873
2021-07-15,1.7999219405500364
2021-07-16,1.7503217353812466
2021-07-19,1.8019877162941111
2021-07-20,1.8576998594047032
2021-07-21,1.9641395640272066
2021-07-22,1.901917209625391
2021-07-23,1.8859679094780248
2021-07-26,2.1078667024331375
2021-07-27,2.2766515717985873
2021-07-28,2.0826114438081964
2021-07-29,2.1119065804467074
2021-07-30,2.107300073851872
2021-08-02,2.121353088405522
2021-08-03,2.155102350447305
2021-08-04,2.256337503413447
2021-08-05,2.1360376194842807
2021-08-06,2.116783860099092
2021-08-09,1.923295564630309
2021-08-10,2.0307176530012825
2021-08-11,1.8154040527237734
2021-08-12,1.9069656033159093
2021-08-13,1.879873777970407
2021-08-16,1.8554171933065027
2021-08-17,1.7672484645932047
2021-08-18,1.679013107376409
2021-08-19,1.7603914804078944
2021-08-20,1.8113386427585676
2021-08-23,1.8757548389282084
2021-08-24,1.8940238859944718
2021-08-25,2.227910962047713
2021-08-26,2.309884255451961
2021-08-27,2.2957610908697905
2021-08-30,2.619687521868869
2021-08-31,2.546126110863261
2021-09-01,2.2807715267333424
2021-09-02,2.2243234147379134
2021-09-03,2.311921304614855
2021-09-06,2.4153242208339267
2021-09-07,2.4733770706199136
2021-09-08,2.5917240560442907
2021-09-09,2.6546254490714034
2021-09-10,2.5995416722685873
2021-09-13,2.392430873499338
2021-09-14,2.6099286320486406
2021-09-15,2.7592103066928684
2021-09-16,2.881911137392405
2021-09-17,2.811353621692393
2021-09-22,2.497759689121577
2021-09-23,2.436976588658066
2021-09-24,2.43108882726502
2021-09-27,2.4303953683997217
2021-09-28,2.080156855831939
2021-09-29,1.972478030694707
2021-09-30,1.9803870621766657
2021-10-08,2.0678494246394283
2021-10-11,1.9043595603902865
2021-10-12,1.8229451977391216
2021-10-13,1.8151857358285588
2021-10-14,1.987277853883238
2021-10-15,2.001071779601971
2021-10-18,2.160318804801971
2021-10-19,2.184368271216676
2021-10-20,2.2448774401490916
2021-10-21,2.056030178774838
2021-10-22,1.9004622736345116
2021-10-25,2.028284806365309
2021-10-26,2.185774021269754
2021-10-27,2.1256380167556514
2021-10-28,2.1610764390264503
2021-10-29,2.390462322961074
2021-11-01,2.4496765413651866
2021-11-02,2.5541273962617295
2021-11-03,2.442877373851387
2021-11-04,2.4946817789978972
2021-11-05,2.561659978150247
2021-11-08,2.450859435237397
2021-11-09,2.5204009703759165
2021-11-10,2.337064470879958
2021-11-11,1.9225670042913865
2021-11-12,2.13180589635977
2021-11-15,2.243875004796258
2021-11-16,2.2730216568797164
2021-11-17,2.2533296231226623
2021-11-18,2.330377334894067
2021-11-19,2.1514535528656435
2021-11-22,2.343091688047695
2021-11-23,2.360477295138979
2021-11-24,2.3601319803081586
2021-11-25,2.387231938727444
2021-11-26,2.4462123914388827
2021-11-29,2.5509298074850024
2021-11-30,2.6382567259436924
2021-12-01,2.6178901749484496
2021-12-02,2.4245243688181874
2021-12-03,2.3586161660786735
2021-12-06,2.2581264875476976
2021-12-07,2.13138449537811
2021-12-08,2.1864373648668627
2021-12-09,2.087684477496822
2021-12-10,2.16353547945975
2021-12-13,2.2369296982092477
2021-12-14,2.336580500660648
2021-12-15,2.3358006580024506
2021-12-16,2.323496648652413
2021-12-17,2.366136949703214
2021-12-20,2.330410390388638
2021-12-21,2.196120904390072
2021-12-22,2.3228900707100806
2021-12-23,2.343975309440456
2021-12-24,2.270586453404939
2021-12-27,2.2673949672221987
2021-12-28,2.2945884948990716
2021-12-29,2.37626831399099
2021-12-30,2.487181626701439
2021-12-31,2.3682310452049813
