date,portfolio_nav,benchmark_nav
2020-04-03,100000000.0,22.009609950859957
2020-04-07,100000000.0,22.50567874692875
2020-04-08,100000000.0,22.32314496314497
2020-04-09,100000000.0,21.878258599508605
2020-04-10,100000000.0,22.19085995085996
2020-04-13,100000000.0,22.4558230958231
2020-04-14,100000000.0,22.97366400491401
2020-04-15,100000000.0,21.894656019656026
2020-04-16,100000000.0,21.69829238329238
2020-04-17,100000000.0,21.92746928746928
2020-04-20,100000000.0,21.698292383292376
2020-04-21,100000000.0,20.793624078624077
2020-04-22,100000000.0,20.969806511056504
2020-04-23,100000000.0,20.76167076167076
2020-04-24,100000000.0,20.253759213759206
2020-04-27,100000000.0,20.57046683046682
2020-04-28,100000000.0,21.38919226044225
2020-04-29,100000000.0,22.15785012285012
2020-04-30,100000000.0,22.05896805896805
2020-05-06,100000000.0,21.17898034398034
2020-05-07,100000000.0,20.713786855036847
2020-05-08,100000000.0,21.17898034398034
2020-05-11,100000000.0,21.421624692874683
2020-05-12,100000000.0,20.65002764127763
2020-05-13,100000000.0,20.65002764127763
2020-05-14,100000000.0,19.955162776412767
2020-05-15,100000000.0,19.955162776412767
2020-05-18,100000000.0,21.09840601965601
2020-05-19,100000000.0,20.9698065110565
2020-05-20,100000000.0,20.143492014742005
2020-05-21,100000000.0,20.09632678132677
2020-05-22,100000000.0,19.44181818181817
2020-05-25,100000000.0,19.908218673218663
2020-05-26,100000000.0,20.491059582309568
2020-05-27,100000000.0,20.602272727272712
2020-05-28,100000000.0,20.98585995085994
2020-05-29,100000000.0,20.2853194103194
2020-06-01,100000000.0,21.40540540540539
2020-06-02,100000000.0,22.789238329238312
2020-06-03,100000000.0,22.124864864864847
2020-06-04,100000000.0,21.94388513513512
2020-06-05,100000000.0,21.42162469287468
2020-06-08,100000000.0,21.730958230958212
2020-06-09,100000000.0,21.470319410319394
2020-06-10,100000000.0,21.05013513513512
2020-06-11,100000000.0,20.60227272727271
2020-06-12,100000000.0,20.301108722358705
2020-06-15,100000000.0,20.127764127764117
2020-06-16,100000000.0,20.475196560196544
2020-06-17,100000000.0,20.2537592137592
2020-06-18,100000000.0,20.58636670761669
2020-06-19,100000000.0,20.681894963144945
2020-06-22,100000000.0,20.269536240786223
2020-06-23,100000000.0,20.04921683046681
2020-06-24,100000000.0,21.405405405405386
2020-06-29,100000000.0,20.63410319410318
2020-06-30,100000000.0,20.985859950859933
2020-07-01,100000000.0,24.233664004913983
2020-07-02,100000000.0,24.75405712530711
2020-07-03,100000000.0,25.20953624078622
2020-07-06,100000000.0,29.552837837837817
2020-07-07,100000000.0,28.196867321867305
2020-07-08,100000000.0,28.383292383292364
2020-07-09,100000000.0,28.814401105651086
2020-07-10,100000000.0,26.132951474201462
2020-07-13,100000000.0,26.18673218673217
2020-07-14,100000000.0,25.722469287469277
2020-07-15,100000000.0,24.56260442260441
2020-07-16,100000000.0,23.29396805896804
2020-07-17,100000000.0,22.7725092137592
2020-07-20,100000000.0,24.597358722358702
2020-07-21,100000000.0,24.09582616707615
2020-07-22,100000000.0,23.87267813267811
2020-07-23,100000000.0,23.2601474201474
2020-07-24,100000000.0,22.43921683046681
2020-07-27,100000000.0,21.8618673218673
2020-07-28,100000000.0,22.174351965601943
2020-07-29,100000000.0,22.57223894348892
2020-07-30,100000000.0,22.19085995085993
2020-07-31,100000000.0,22.124864864864843
2020-08-03,100000000.0,22.8562162162162
2020-08-04,100000000.0,23.63352579852577
2020-08-05,100000000.0,22.973664004913985
2020-08-06,100000000.0,23.024090909090884
2020-08-07,100000000.0,22.43921683046681
2020-08-10,100000000.0,23.75295147420145
2020-08-11,100000000.0,23.87267813267811
2020-08-12,100000000.0,25.315236486486462
2020-08-13,100000000.0,25.1216216216216
2020-08-14,100000000.0,23.53140049140047
2020-08-17,100000000.0,24.44115786240784
2020-08-18,100000000.0,23.56541769041766
2020-08-19,100000000.0,23.12511056511054
2020-08-20,100000000.0,23.192579852579826
2020-08-21,100000000.0,22.990466830466804
2020-08-24,100000000.0,22.60555589680587
2020-08-25,100000000.0,22.705654176904154
