factor_name,ic,ic_abs,ir,monotonicity,ic_win_rate,composite_score,coverage,rank
auto_kurtosis_20_processed,0.07179162383336064,0.07179162383336064,0.09089985981704404,0.9999999999999999,0.4874999939062501,0.8310811956695334,1.0,1
hist_vol_60_processed,-0.07306209724592114,0.07306209724592114,0.017730016299608554,-0.8999999999999998,0.6499999918750001,0.8302263227004624,1.0,2
auto_volatility_20_processed,0.0843882807515693,0.0843882807515693,0.20527446365279808,0.6,0.4999999937500001,0.8184523075172241,1.0,3
hist_vol_20_processed,0.07258595649116122,0.07258595649116122,0.18063324385007476,0.6,0.7624999904687502,0.8079918590680149,1.0,4
auto_volatility_60_processed,-0.0508661023407303,0.0508661023407303,0.10798706335614514,-0.8999999999999998,0.6499999918750001,0.7555900627944073,1.0,5
auto_std_60_1_processed,-0.03978620734765691,0.03978620734765691,0.23080072998954732,-0.8999999999999998,0.6749999915625001,0.7329478511501798,1.0,6
auto_amount_ma_30_processed,-0.03491922973834383,0.03491922973834383,0.3454661617069575,-0.8999999999999998,0.6749999915625001,0.7298387428012234,1.0,7
auto_open_ratio_60_processed,-0.056831451634345866,0.056831451634345866,-0.37496168105820077,-0.8999999999999998,0.6749999915625001,0.7153072759256944,1.0,8
auto_quantile_0.75_30_processed,-0.03292140258044634,0.03292140258044634,0.25520518267266623,-0.8999999999999998,0.6749999915625001,0.7093737622397748,1.0,9
auto_amount_ma_60_processed,-0.025765646483675228,0.025765646483675228,0.3952404686305176,-0.8999999999999998,0.6749999915625001,0.7008128295964374,1.0,10
auto_skew_30_1_processed,0.033589260691833156,0.033589260691833156,0.2146886441825961,0.8999999999999998,0.6374999920312501,0.7007126881619373,1.0,11
auto_kurtosis_20_1_processed,0.07179162383336064,0.07179162383336064,0.09089985981704404,0.9999999999999999,0.4874999939062501,0.8310811956695334,1.0,12
auto_volatility_20_1_processed,0.0843882807515693,0.0843882807515693,0.20527446365279808,0.6,0.4999999937500001,0.8184523075172241,1.0,13
auto_volatility_60_1_processed,-0.0508661023407303,0.0508661023407303,0.10798706335614514,-0.8999999999999998,0.6499999918750001,0.7555900627944073,1.0,14
auto_std_60_processed,-0.03978620734765691,0.03978620734765691,0.23080072998954732,-0.8999999999999998,0.6749999915625001,0.7329478511501798,1.0,15
auto_amount_ma_30_1_processed,-0.03491922973834383,0.03491922973834383,0.3454661617069575,-0.8999999999999998,0.6749999915625001,0.7298387428012234,1.0,16
auto_open_ratio_60_1_processed,-0.056831451634345866,0.056831451634345866,-0.37496168105820077,-0.8999999999999998,0.6749999915625001,0.7153072759256944,1.0,17
auto_open_log_return_60_processed,-0.056346335021794355,0.056346335021794355,-0.38235781953576103,-0.8999999999999998,0.6749999915625001,0.7123669423046226,1.0,18
auto_open_log_return_60_1_processed,-0.056346335021794355,0.056346335021794355,-0.38235781953576103,-0.8999999999999998,0.6749999915625001,0.7123669423046226,1.0,19
auto_quantile_0.75_30_1_processed,-0.03292140258044634,0.03292140258044634,0.25520518267266623,-0.8999999999999998,0.6749999915625001,0.7093737622397748,1.0,20
