ts_code,trade_date,auto_amount_ma_30,auto_std_60,auto_std_ratio_5,auto_volatility_20,future_5d_return,year_month
000005.SZ,2024-01-02,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.0535714285714286,2024-01
000005.SZ,2024-01-03,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.0964912280701753,2024-01
000005.SZ,2024-01-04,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.0940170940170939,2024-01
000005.SZ,2024-01-05,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.05405405405405406,2024-01
000005.SZ,2024-01-08,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.028037383177570208,2024-01
000005.SZ,2024-01-09,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.009433962264151052,2024-01
000005.SZ,2024-01-10,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.01941747572815533,2024-01
000005.SZ,2024-01-11,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.009433962264150941,2024-01
000005.SZ,2024-01-12,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.0,2024-01
000005.SZ,2024-01-15,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.09090909090909094,2024-01
000005.SZ,2024-01-16,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.01869158878504673,2024-01
000005.SZ,2024-01-17,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.00952380952380949,2024-01
000005.SZ,2024-01-18,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.00952380952380949,2024-01
000005.SZ,2024-01-19,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.00952380952380949,2024-01
000005.SZ,2024-01-22,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.010000000000000009,2024-01
000005.SZ,2024-01-23,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.05714285714285716,2024-01
000005.SZ,2024-01-24,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.09615384615384626,2024-01
000005.SZ,2024-01-25,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.14423076923076927,2024-01
000005.SZ,2024-01-26,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.19811320754716988,2024-01
000005.SZ,2024-01-29,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.19801980198019797,2024-01
000005.SZ,2024-01-30,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.2222222222222222,2024-01
000005.SZ,2024-01-31,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.22340425531914887,2024-01
000005.SZ,2024-02-01,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.2247191011235956,2024-02
000005.SZ,2024-02-02,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.22352941176470587,2024-02
000005.SZ,2024-02-05,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.14814814814814825,2024-02
000005.SZ,2024-02-06,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.06493506493506496,2024-02
000005.SZ,2024-02-07,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.041095890410958846,2024-02
000005.SZ,2024-02-08,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.15942028985507273,2024-02
000005.SZ,2024-02-19,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.2727272727272727,2024-02
000005.SZ,2024-02-20,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.2753623188405798,2024-02
000005.SZ,2024-02-21,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.2777777777777779,2024-02
000005.SZ,2024-02-22,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.27631578947368407,2024-02
000005.SZ,2024-02-23,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.1499999999999999,2024-02
000005.SZ,2024-02-26,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.03571428571428581,2024-02
000005.SZ,2024-02-27,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.05681818181818188,2024-02
000005.SZ,2024-02-28,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,,2024-02
000005.SZ,2024-02-29,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,,2024-02
000005.SZ,2024-03-01,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,,2024-03
000005.SZ,2024-03-04,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,,2024-03
000005.SZ,2024-03-05,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,,2024-03
000011.SZ,2024-01-02,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.013590033975084848,2024-01
000011.SZ,2024-01-03,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.022547914317925466,2024-01
000011.SZ,2024-01-04,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.003389830508474523,2024-01
000011.SZ,2024-01-05,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,-0.006764374295377573,2024-01
000011.SZ,2024-01-08,92098.42306666666,0.43770520611209157,0.0037738382146509227,0.387186898908925,0.0,2024-01
000011.SZ,2024-01-09,92098.42306666666,0.43770520611209157,0.008960475131632811,0.387186898908925,0.027554535017221493,2024-01
000011.SZ,2024-01-10,92098.42306666666,0.43770520611209157,0.012275560701191566,0.387186898908925,0.03690888119953861,2024-01
000011.SZ,2024-01-11,92098.42306666666,0.43770520611209157,0.01201275388863037,0.387186898908925,0.020408163265306145,2024-01
000011.SZ,2024-01-12,92098.42306666666,0.43770520611209157,0.011227037461669212,0.387186898908925,0.05221339387060153,2024-01
000011.SZ,2024-01-15,92098.42306666666,0.43770520611209157,0.011227037461669212,0.387186898908925,0.010089686098654793,2024-01
000011.SZ,2024-01-16,92098.42306666666,0.43770520611209157,0.012467315683807005,0.387186898908925,-0.012290502793296021,2024-01
000011.SZ,2024-01-17,92098.42306666666,0.43770520611209157,0.008969686534867374,0.387186898908925,0.04671857619577313,2024-01
000011.SZ,2024-01-18,92098.42306666666,0.43770520611209157,0.0085464996786187,0.387186898908925,0.07333333333333325,2024-01
000011.SZ,2024-01-19,92098.42306666666,0.43770520611209157,0.015522610942536093,0.387186898908925,0.07119741100323629,2024-01
000011.SZ,2024-01-22,92098.42306666666,0.43770520611209157,0.014194431456502855,0.387186898908925,0.05771365149833518,2024-01
000011.SZ,2024-01-23,92098.42306666666,0.43770520611209157,0.017196306382625422,0.387186898908925,0.044117647058823595,2024-01
000011.SZ,2024-01-24,92098.42306666666,0.43770520611209157,0.025193528158929456,0.387186898908925,-0.08607863974495222,2024-01
000011.SZ,2024-01-25,92098.42306666666,0.43770520611209157,0.035038093485114725,0.387186898908925,-0.1366459627329193,2024-01
000011.SZ,2024-01-26,92098.42306666666,0.43770520611209157,0.048019679081641765,0.387186898908925,-0.1591137965760322,2024-01
000011.SZ,2024-01-29,92098.42306666666,0.43770520611209157,0.042605640891171005,0.387186898908925,-0.18782791185729264,2024-01
000011.SZ,2024-01-30,92098.42306666666,0.43770520611209157,0.02764294629293105,0.387186898908925,-0.14517876489707482,2024-01
000011.SZ,2024-01-31,92098.42306666666,0.43770520611209157,0.05414054581026116,0.4612393449158279,-0.0918604651162791,2024-01
000011.SZ,2024-02-01,92098.42306666666,0.43770520611209157,0.07174826853912963,0.4726845358184113,-0.016786570743405393,2024-02
000011.SZ,2024-02-02,92098.42306666666,0.43770520611209157,0.06142521092743935,0.4725566301595303,-0.009580838323353325,2024-02
000011.SZ,2024-02-05,92098.42306666666,0.43770520611209157,0.06363442995953364,0.5330592419014045,0.07105943152454763,2024-02
000011.SZ,2024-02-06,92098.42306666666,0.43770520611209157,0.04356706962408064,0.5366499669985598,0.06844106463878319,2024-02
000011.SZ,2024-02-07,92098.42306666666,0.43770520611209157,0.036883081338266385,0.5370399059048304,0.08194622279129327,2024-02
000011.SZ,2024-02-08,92098.42306666666,0.43770520611209157,0.032978397437556276,0.5664291750985287,0.03780487804878052,2024-02
000011.SZ,2024-02-19,92098.42306666666,0.43770520611209157,0.029850229139486123,0.5678961860846933,0.0145102781136639,2024-02
000011.SZ,2024-02-20,92098.42306666666,0.43770520611209157,0.027831312942759003,0.5654815676769412,0.02895054282267795,2024-02
000011.SZ,2024-02-21,93107.73256666664,0.43770520611209157,0.028469795381555356,0.5695383720500435,-0.027283511269276417,2024-02
000011.SZ,2024-02-22,93694.97940000001,0.43770520611209157,0.012943814947385952,0.5692529237689281,-0.011834319526627168,2024-02
000011.SZ,2024-02-23,94215.62596666666,0.43770520611209157,0.012500699918506117,0.5701497162063335,-0.005875440658049236,2024-02
000011.SZ,2024-02-26,94515.50286666668,0.43770520611209157,0.009713722041006213,0.558511549628269,-0.017878426698450522,2024-02
000011.SZ,2024-02-27,91435.47996666665,0.43770520611209157,0.006809198103789594,0.5559377449978842,-0.0398593200468933,2024-02
000011.SZ,2024-02-28,90468.9647,0.43770520611209157,0.015754464899861518,0.5681617319233195,-0.0024390243902439046,2024-02
000011.SZ,2024-02-29,90235.12583333332,0.43770520611209157,0.01592616737462699,0.5165714821482068,-0.01916167664670665,2024-02
000011.SZ,2024-03-01,90994.67083333332,0.43770520611209157,0.014860410896368043,0.5076738404557305,-0.0378250591016549,2024-03
000011.SZ,2024-03-04,91431.3396,0.43770520611209157,0.016809897269675876,0.4956391125121225,0.0024271844660193054,2024-03
000011.SZ,2024-03-05,91068.83893333333,0.43770520611209157,0.013899067582475574,0.48150490272497076,0.035409035409035505,2024-03
000011.SZ,2024-03-06,90146.9983,0.43770520611209157,0.014399993875848874,0.47309261951026066,0.017114914425427896,2024-03
000011.SZ,2024-03-07,87398.55293333334,0.43770520611209157,0.014374335487552755,0.41127220328783776,0.014652014652014822,2024-03
000011.SZ,2024-03-08,85485.7836,0.43770520611209157,0.004352351613322461,0.39810069283073385,0.03071253071253066,2024-03
000011.SZ,2024-03-11,81128.4111,0.43770520611209157,0.005278746501707654,0.4019357534467325,0.016949152542373058,2024-03
000011.SZ,2024-03-12,78870.10066666667,0.43770520611209157,0.016442010087327572,0.3069191164163476,-0.018867924528301883,2024-03
000011.SZ,2024-03-13,77341.36736666666,0.43770520611209157,0.015944048281116268,0.31271656512800183,0.0012019230769231282,2024-03
000011.SZ,2024-03-14,72914.46826666666,0.43770520611209157,0.014762237392983147,0.30938788895095454,0.008423586040914532,2024-03
000011.SZ,2024-03-15,67199.65976666666,0.43770520611209157,0.010208846357790107,0.2575160634148568,-0.020262216924910592,2024-03
000011.SZ,2024-03-18,59203.147066666665,0.43770520611209157,0.008224371782339998,0.25608370128523467,-0.023809523809523947,2024-03
000011.SZ,2024-03-19,50812.8891,0.43770520611209157,0.005180101993370762,0.25864319824501336,0.027644230769230838,2024-03
000011.SZ,2024-03-20,46699.059133333336,0.43770520611209157,0.005009939678639794,0.2511924271754748,-0.004801920768307433,2024-03
000011.SZ,2024-03-21,42991.181699999994,0.43770520611209157,0.004360253550601573,0.25206745948538883,-0.01670644391408116,2024-03
000011.SZ,2024-03-22,40493.843466666665,0.43770520611209157,0.008403360335721885,0.2589289161745331,0.0024330900243307862,2024-03
000011.SZ,2024-03-25,38793.72903333333,0.43770520611209157,0.009265554669849997,0.2547389082882168,0.021951219512195363,2024-03
000011.SZ,2024-03-26,39606.52673333333,0.43770520611209157,0.01693541686626589,0.2926062646812913,-0.022222222222222365,2024-03
000011.SZ,2024-03-27,39979.795000000006,0.43770520611209157,0.01713778719832495,0.2791522258961744,0.02291917973462021,2024-03
000011.SZ,2024-03-28,39708.473666666665,0.43770520611209157,0.01731338088175655,0.2720745137226486,0.004854368932038833,2024-03
000011.SZ,2024-03-29,39070.3982,0.43770520611209157,0.017000678580434563,0.26725376586376665,0.016990291262136026,2024-03
000011.SZ,2024-04-01,39292.740399999995,0.43770520611209157,0.015656550709282457,0.25769571825939896,-0.004773269689737569,2024-04
000011.SZ,2024-04-02,39641.463533333335,0.43770520611209157,0.007916971691587865,0.2566921473495052,-0.007177033492822837,2024-04
000011.SZ,2024-04-03,39385.73906666667,0.4363557352477646,0.012227863074813144,0.2607055187449226,-0.037735849056603765,2024-04
000011.SZ,2024-04-08,39204.9147,0.43573079726319236,0.011186024084014295,0.2760198850456648,-0.03985507246376807,2024-04
000011.SZ,2024-04-09,39010.463299999996,0.4343376020359903,0.008509325479397062,0.2776246359340836,-0.0656324582338903,2024-04
000011.SZ,2024-04-10,39157.79243333333,0.43279576608516446,0.008716338599287386,0.27398936258313256,-0.03717026378896893,2024-04
000011.SZ,2024-04-11,38322.9183,0.43062938435117043,0.009483777111153106,0.25657488850603766,-0.03734939759036149,2024-04
000011.SZ,2024-04-12,36835.828133333336,0.43227685207070665,0.010032142708650283,0.2548140843408682,-0.014705882352941346,2024-04
000011.SZ,2024-04-15,36670.98306666667,0.4376263659312513,0.021293101273200932,0.2697107299305354,0.015094339622641506,2024-04
000011.SZ,2024-04-16,35768.684,0.4437723178122972,0.027227092717302278,0.26975974863284224,0.02937420178799499,2024-04
000011.SZ,2024-04-17,35108.61893333333,0.44530884984627656,0.02266762282466643,0.28835836363761935,0.012453300124533273,2024-04
000011.SZ,2024-04-18,35089.61056666667,0.44539438500287765,0.015025436610699142,0.2872546965568734,0.02127659574468077,2024-04
000011.SZ,2024-04-19,35078.20013333333,0.443558128726465,0.01066397746999211,0.28852884405139945,0.03358208955223896,2024-04
000011.SZ,2024-04-22,34885.6636,0.43991636981292226,0.011883592177299307,0.28784553420276143,0.06691449814126393,2024-04
000011.SZ,2024-04-23,34734.00606666667,0.43559748563499157,0.003874697577731331,0.28044096862696793,0.043424317617865915,2024-04
000011.SZ,2024-04-24,34588.1919,0.4218057429027775,0.006291283337191341,0.28237075171213516,0.04674046740467386,2024-04
000011.SZ,2024-04-25,32855.06873333333,0.41465512182595615,0.006264849376857314,0.2333534288863017,0.052696078431372584,2024-04
000011.SZ,2024-04-26,32593.3889,0.41010054575325794,0.01235549825253032,0.21903503293671855,0.0,2024-04
000011.SZ,2024-04-29,35417.0156,0.38783401860680294,0.026524010877131507,0.25172706309071974,-0.024390243902438935,2024-04
000011.SZ,2024-04-30,36770.163166666665,0.34766468682234364,0.02356597474745566,0.26756920119149347,0.02378121284185486,2024-04
000011.SZ,2024-05-06,37992.59186666667,0.27808648006597103,0.020790770377967553,0.2641571439323761,0.009400705052879044,2024-05
000011.SZ,2024-05-07,41286.82200000001,0.23017900182544326,0.014849853543046743,0.2655214140440616,-0.013969732246798539,2024-05
000011.SZ,2024-05-08,42657.56573333334,0.1941942646665446,0.014849853543046743,0.2868024442179623,0.02767749699157629,2024-05
000011.SZ,2024-05-09,43117.60616666667,0.1901548580933409,0.012798914719313997,0.2764607947874761,0.06428571428571428,2024-05
000011.SZ,2024-05-10,45109.935300000005,0.19498884511047176,0.015039260752309472,0.2870167154085553,0.10220673635307786,2024-05
000011.SZ,2024-05-13,45899.147333333334,0.1989982681695112,0.016044917755871285,0.2864364484117662,0.05820721769499415,2024-05
000011.SZ,2024-05-14,44666.6991,0.18754434503853634,0.014960703741438888,0.2909820386515071,0.07319952774498217,2024-05
000011.SZ,2024-05-15,44865.27563333334,0.1827593737693535,0.010209544323753593,0.2839040417460896,0.0749414519906324,2024-05
000011.SZ,2024-05-16,48660.59223333334,0.18942344875398673,0.021033757540316996,0.30453695314058044,0.007829977628635465,2024-05
000011.SZ,2024-05-17,54813.51306666667,0.24162649188762786,0.048048980291983276,0.35172901988348954,-0.08640674394099057,2024-05
000011.SZ,2024-05-20,58143.21746666667,0.26002276084641707,0.046975726657646155,0.39159039043145616,-0.05940594059405935,2024-05
000011.SZ,2024-05-21,59241.557133333336,0.27662304808974997,0.03783908675817382,0.3900485736457538,-0.08250825082508251,2024-05
000011.SZ,2024-05-22,63030.12783333333,0.2957487863589116,0.022343478886677433,0.3902014108726024,-0.08496732026143783,2024-05
000011.SZ,2024-05-23,65108.392133333335,0.30661077849861396,0.02046117559332261,0.4004829109048136,-0.09433962264150941,2024-05
000011.SZ,2024-05-24,66311.85236666667,0.3083629089495361,0.022012954142336852,0.4289614062708034,-0.056516724336793556,2024-05
000011.SZ,2024-05-27,67010.00226666666,0.3090305599866304,0.030873326113185523,0.43312978299008903,-0.05847953216374269,2024-05
000011.SZ,2024-05-28,67989.60613333333,0.30860040349868095,0.03904993739605189,0.4438982446689575,-0.011990407673860837,2024-05
000011.SZ,2024-05-29,68924.73956666667,0.30756796134750164,0.030946135953331715,0.44000083352099784,-0.03571428571428581,2024-05
000011.SZ,2024-05-30,69664.45766666667,0.30901904206955044,0.023271093039095306,0.4311774019834638,-0.03308823529411775,2024-05
000011.SZ,2024-05-31,69936.58296666667,0.31009220425744927,0.019433380870530252,0.4242508981485935,-0.011002444987775029,2024-05
000011.SZ,2024-06-03,70432.68276666666,0.31258585261370675,0.017269184243546506,0.42447459468156096,0.0,2024-06
000011.SZ,2024-06-04,70980.51560000001,0.312124848264209,0.015643972293813306,0.4326428321341916,-0.0230582524271844,2024-06
000011.SZ,2024-06-05,71079.90396666668,0.31318592517674587,0.009004232049994256,0.4212719983772973,-0.024691358024691246,2024-06
000011.SZ,2024-06-06,71816.29293333334,0.3186821380070532,0.016612046898066876,0.42779610665365736,0.0291508238276299,2024-06
