,auto_kurtosis_20,hist_vol_60,auto_volatility_20,hist_vol_20,auto_volatility_60,auto_std_60_1,auto_amount_ma_30,auto_open_ratio_60,auto_quantile_0.75_30,auto_amount_ma_60,auto_skew_30_1,auto_kurtosis_20_1,auto_volatility_20_1,auto_volatility_60_1,auto_std_60,auto_amount_ma_30_1,auto_open_ratio_60_1,auto_open_log_return_60,auto_open_log_return_60_1,auto_quantile_0.75_30_1
2024-01-02,-0.0021340343152168916,-0.006033384944046672,0.00028060700034352734,0.04181055386759864,0.006274243544747567,0.0007871531205287448,1.1280252138432977e-09,0.013092653978594637,-3.905953738393443e-05,-1.2268494786437756e-10,-0.0013910315031643013,-0.0021340343152168916,0.00028060700034352734,0.006274243544747567,0.0007871531205287448,1.1280252138432977e-09,0.013092653978594637,0.0164280544008165,0.0164280544008165,-3.905953738393443e-05
2024-01-03,-0.0010915643664814083,-0.0457216759760586,-0.03157807010773452,-0.018380951984078648,0.0008364004994784234,-0.002460523495200553,3.564648936189342e-09,0.0006264984299319924,-0.00026920452574942744,4.265884872866404e-09,-0.0011394385241727983,-0.0010915643664814083,-0.03157807010773452,0.0008364004994784234,-0.002460523495200553,3.564648936189342e-09,0.0006264984299319924,0.0022987972362098746,0.0022987972362098746,-0.00026920452574942744
2024-01-04,0.0008770369689861083,-0.026356853537283422,0.0018034662061139385,-0.02258616412143824,-0.005053655355224059,-0.0004641820502955087,5.0742725787002304e-09,-0.004293060466018086,-4.313679785646544e-05,5.501682808924288e-09,-0.002380121110359939,0.0008770369689861083,0.0018034662061139385,-0.005053655355224059,-0.0004641820502955087,5.0742725787002304e-09,-0.004293060466018086,-0.007318228487585713,-0.007318228487585713,-4.313679785646544e-05
2024-01-05,1.1951386537194122e-05,-0.03811868146991792,-0.017826771436361116,-0.07059384701023377,-0.01290500235064891,-0.0019012591494980357,2.9028280636077545e-09,-0.011989663939316718,-3.496162133172269e-05,4.1032756229378364e-09,-0.0005753721609136857,1.1951386537194122e-05,-0.017826771436361116,-0.01290500235064891,-0.0019012591494980357,2.9028280636077545e-09,-0.011989663939316718,-0.015449447229800427,-0.015449447229800427,-3.496162133172269e-05
2024-01-08,-0.0004761486923197449,-0.037943951452182156,-0.013016000757516565,-0.03651230907328074,-0.0005872761858927152,-0.0016436702923946754,7.362904539778883e-09,-0.0028061219300595536,-0.00012471975451833588,7.805458387189922e-09,0.002706932874819944,-0.0004761486923197449,-0.013016000757516565,-0.0005872761858927152,-0.0016436702923946754,7.362904539778883e-09,-0.0028061219300595536,-0.001617500101877597,-0.001617500101877597,-0.00012471975451833588
2024-01-09,0.0014243382572279762,-0.02467774441051554,0.004037780980540716,-0.06629579817876183,-0.005198611281238016,-0.001556060207822669,1.305668297918144e-09,-0.003750123204158851,-0.00012648798632241542,1.1192388941297676e-09,0.004230273550545604,0.0014243382572279762,0.004037780980540716,-0.005198611281238016,-0.001556060207822669,1.305668297918144e-09,-0.003750123204158851,-0.004197952147947869,-0.004197952147947869,-0.00012648798632241542
2024-01-10,0.0006500284828011748,-0.030796528004411003,0.007581892385139651,-0.034041222555172855,-0.004189077910361429,0.0010103456203457229,-3.2358040438490188e-09,0.003940551707734845,1.548673361622459e-05,-2.109751568366046e-09,0.0005085543763207033,0.0006500284828011748,0.007581892385139651,-0.004189077910361429,0.0010103456203457229,-3.2358040438490188e-09,0.003940551707734845,0.0038694382828477424,0.0038694382828477424,1.548673361622459e-05
2024-01-11,0.0009532533718947663,0.04822778429265547,0.011765156827876003,0.05379355531933378,0.0009084758973898745,-9.953145041817556e-05,-2.1804804748201805e-09,-0.0015631981273722566,6.035817821631465e-05,-5.462992034481307e-09,-0.0011899340098790467,0.0009532533718947663,0.011765156827876003,0.0009084758973898745,-9.953145041817556e-05,-2.1804804748201805e-09,-0.0015631981273722566,-0.002687139952030404,-0.002687139952030404,6.035817821631465e-05
2024-01-12,-0.0004872854660057904,-0.04735848412345368,-0.007445436988104125,-0.06537985605936568,-0.009538176863322907,-0.00223011937053587,3.6216558607754324e-09,-0.013574106568569893,-2.0493869047547163e-05,3.7058937781858657e-09,0.0008796947707706211,-0.0004872854660057904,-0.007445436988104125,-0.009538176863322907,-0.00223011937053587,3.6216558607754324e-09,-0.013574106568569893,-0.019081004745943913,-0.019081004745943913,-2.0493869047547163e-05
2024-01-15,0.001282088512255245,-0.05067863260603613,-0.019109496878326967,-0.049155567863912314,-0.008451014198534768,-0.002648594454266747,3.482726264655417e-10,-0.006023464770910953,-0.00021611369230591852,1.051760668614425e-09,0.0014199018303616832,0.001282088512255245,-0.019109496878326967,-0.008451014198534768,-0.002648594454266747,3.482726264655417e-10,-0.006023464770910953,-0.006648462612680659,-0.006648462612680659,-0.00021611369230591852
