factor_name,mean,std,min,max,skew,kurtosis,coverage
auto_kurtosis_20,1.385832170375795,2.9163251438218345,-2.227998436085054,19.359531323025738,2.556473625031435,8.037463499930851,1.0
hist_vol_60,0.44206024535696653,0.10909701751251369,0.0,0.7739022691656017,-0.0802390894921839,0.10840599514358296,1.0
auto_volatility_20,0.5089975823079078,0.3122137408575142,0.08271948939106002,4.437064913683554,3.9360097592606813,30.541138700396004,1.0
hist_vol_20,0.4280257511364212,0.1393428578738155,0.08271948939106002,0.9289220778059343,0.3423282962772208,-0.317225714101677,1.0
auto_volatility_60,0.5406403161084794,0.27867785931567574,0.11995527958397734,2.5937451747643268,3.069542647709504,15.467016366884806,1.0
auto_std_60_1,1.7084757426523265,2.4748964053104157,0.017159932308602875,31.552765731560502,5.01355184712321,39.24144509443215,1.0
auto_amount_ma_30,225855.7916322185,413572.0060162643,920.141,4256360.833133333,4.134122546006246,21.063055540743683,1.0
auto_open_ratio_60,1.0671848013373464,0.2950754962795715,0.2588495575221239,3.962264150943396,1.8578187658465335,7.342008646942568,1.0
auto_quantile_0.75_30,19.264805663288712,23.402623939146853,1.05,237.505,5.097984275136235,37.58870314138075,1.0
auto_amount_ma_60,240689.1406203053,416540.1097595655,1667.9569833333335,2863471.7169333333,3.541399284746874,13.910721527961154,1.0
auto_skew_30_1,0.363086933139214,1.0970945034972113,-4.989387151217272,5.260114327615659,0.23485956124912635,3.5173086264077904,1.0
auto_kurtosis_20_1,1.385832170375795,2.9163251438218345,-2.227998436085054,19.359531323025738,2.556473625031435,8.037463499930851,1.0
auto_volatility_20_1,0.5089975823079078,0.3122137408575142,0.08271948939106002,4.437064913683554,3.9360097592606813,30.541138700396004,1.0
auto_volatility_60_1,0.5406403161084794,0.27867785931567574,0.11995527958397734,2.5937451747643268,3.069542647709504,15.467016366884806,1.0
auto_std_60,1.7084757426523265,2.4748964053104157,0.017159932308602875,31.552765731560502,5.01355184712321,39.24144509443215,1.0
auto_amount_ma_30_1,225855.7916322185,413572.0060162643,920.141,4256360.833133333,4.134122546006246,21.063055540743683,1.0
auto_open_ratio_60_1,1.0671848013373464,0.2950754962795715,0.2588495575221239,3.962264150943396,1.8578187658465335,7.342008646942568,1.0
auto_open_log_return_60,0.03171639360936129,0.25405655338442007,-1.3515043817940742,1.3768158695462673,0.24505727485493894,2.158657952881838,1.0
auto_open_log_return_60_1,0.03171639360936129,0.25405655338442007,-1.3515043817940742,1.3768158695462673,0.24505727485493894,2.158657952881838,1.0
auto_quantile_0.75_30_1,19.264805663288712,23.402623939146853,1.05,237.505,5.097984275136235,37.58870314138075,1.0
