factor,monotonicity,is_monotonic,ic
auto_kurtosis_20_1_processed,0.9999999999999999,True,0.07179162383336064
auto_kurtosis_20_processed,0.9999999999999999,True,0.07179162383336064
rsi_12_processed,0.9999999999999999,True,0.06157984386870304
auto_amount_ma_ratio_20_processed,0.9999999999999999,True,0.04135837245907185
auto_amount_ma_ratio_20_1_processed,0.9999999999999999,True,0.04135837245907185
ma_dev_20_processed,0.9999999999999999,True,0.05231008390871841
auto_quantile_ratio_0.1_20_1_processed,0.8999999999999998,True,0.05107626397069878
highest_lowest_pos_processed,0.8999999999999998,True,0.0591006506359148
auto_amount_ma_ratio_30_processed,0.8999999999999998,True,0.041554917968146844
auto_amount_ma_ratio_30_1_processed,0.8999999999999998,True,0.041554917968146844
auto_quantile_ratio_0.1_20_processed,0.8999999999999998,True,0.05107626397069878
auto_ma_cross_20_processed,0.7,False,0.04645327219664149
auto_ma_cross_20_1_processed,0.7,False,0.04645327219664149
auto_volatility_20_1_processed,0.6,False,0.0843882807515693
hist_vol_20_processed,0.6,False,0.07258595649116122
auto_volatility_20_processed,0.6,False,0.0843882807515693
rsi_24_processed,0.09999999999999999,False,0.04519214995097149
auto_volatility_10_1_processed,0.0,False,0.04319604719813345
auto_volatility_10_processed,0.0,False,0.04319604719813345
auto_open_ratio_5_processed,-0.09999999999999999,False,-0.04206754441625553
auto_open_ratio_5_1_processed,-0.09999999999999999,False,-0.04206754441625553
auto_open_log_return_5_processed,-0.09999999999999999,False,-0.04223892049079983
auto_open_log_return_5_1_processed,-0.09999999999999999,False,-0.04223892049079983
auto_price_ema_ratio_60_1_processed,-0.39999999999999997,False,-0.05092295586836338
auto_vol_price_corr_20_processed,-0.39999999999999997,False,-0.05611742426418171
auto_price_ema_ratio_60_processed,-0.39999999999999997,False,-0.05092295586836338
auto_vol_price_corr_20_1_processed,-0.39999999999999997,False,-0.05611742426418171
auto_volume_price_corr_auto_20_processed,-0.39999999999999997,False,-0.05611742426418171
auto_vol_price_corr_10_processed,-0.49999999999999994,False,-0.0454978467308418
auto_vol_price_corr_10_1_processed,-0.49999999999999994,False,-0.0454978467308418
auto_volume_price_corr_auto_10_processed,-0.49999999999999994,False,-0.0454978467308418
hist_vol_60_processed,-0.8999999999999998,True,-0.07306209724592114
auto_open_ratio_60_1_processed,-0.8999999999999998,True,-0.056831451634345866
auto_open_ratio_60_processed,-0.8999999999999998,True,-0.056831451634345866
auto_low_log_return_60_processed,-0.8999999999999998,True,-0.053767853688112696
auto_low_ratio_60_processed,-0.8999999999999998,True,-0.054113239845463096
auto_low_ratio_60_1_processed,-0.8999999999999998,True,-0.054113239845463096
auto_open_log_return_60_processed,-0.8999999999999998,True,-0.056346335021794355
auto_open_log_return_60_1_processed,-0.8999999999999998,True,-0.056346335021794355
auto_low_log_return_60_1_processed,-0.8999999999999998,True,-0.053767853688112696
auto_high_log_return_60_1_processed,-0.8999999999999998,True,-0.05157944882293746
auto_high_log_return_60_processed,-0.8999999999999998,True,-0.05157944882293746
auto_volatility_60_processed,-0.8999999999999998,True,-0.0508661023407303
auto_volatility_60_1_processed,-0.8999999999999998,True,-0.0508661023407303
auto_close_log_return_60_processed,-0.8999999999999998,True,-0.050350612294363155
auto_close_log_return_60_1_processed,-0.8999999999999998,True,-0.050350612294363155
auto_close_ratio_60_1_processed,-0.9999999999999999,True,-0.05091041785920128
auto_close_ratio_60_processed,-0.9999999999999999,True,-0.05091041785920128
auto_high_ratio_60_1_processed,-0.9999999999999999,True,-0.05213989239205868
auto_high_ratio_60_processed,-0.9999999999999999,True,-0.05213989239205868
