factor,ic,ic_abs,ir,monotonicity,ic_win_rate,coverage,n_obs,ic_score,ir_score,mono_score,win_rate_score,coverage_score,composite_score
auto_kurtosis_20_processed,0.07179162383336064,0.07179162383336064,0.09089985981704404,0.9999999999999999,0.4874999939062501,1.0,23479,0.8019253220009945,0.829900264332589,0.999999000001,0.4874999939062501,1.0,0.8310811956695334
auto_kurtosis_20_1_processed,0.07179162383336064,0.07179162383336064,0.09089985981704404,0.9999999999999999,0.4874999939062501,1.0,23479,0.8019253220009945,0.829900264332589,0.999999000001,0.4874999939062501,1.0,0.8310811956695334
hist_vol_60_processed,-0.07306209724592114,0.07306209724592114,0.017730016299608554,-0.8999999999999998,0.6499999918750001,1.0,23479,0.821901148754578,0.7890048669215513,0.8999991000008999,0.6499999918750001,1.0,0.8302263227004624
auto_volatility_20_processed,0.0843882807515693,0.0843882807515693,0.20527446365279808,0.6,0.4999999937500001,1.0,23479,0.9999842768636037,0.8938254369548129,0.5999994000006,0.4999999937500001,1.0,0.8184523075172241
auto_volatility_20_1_processed,0.0843882807515693,0.0843882807515693,0.20527446365279808,0.6,0.4999999937500001,1.0,23479,0.9999842768636037,0.8938254369548129,0.5999994000006,0.4999999937500001,1.0,0.8184523075172241
hist_vol_20_processed,0.07258595649116122,0.07258595649116122,0.18063324385007476,0.6,0.7624999904687502,1.0,23479,0.8144147227236422,0.8800531992666869,0.5999994000006,0.7624999904687502,1.0,0.8079918590680149
auto_volatility_60_processed,-0.0508661023407303,0.0508661023407303,0.10798706335614514,-0.8999999999999998,0.6499999918750001,1.0,23479,0.47291049340829794,0.839450482643611,0.8999991000008999,0.6499999918750001,1.0,0.7555900627944073
auto_volatility_60_1_processed,-0.0508661023407303,0.0508661023407303,0.10798706335614514,-0.8999999999999998,0.6499999918750001,1.0,23479,0.47291049340829794,0.839450482643611,0.8999991000008999,0.6499999918750001,1.0,0.7555900627944073
auto_std_60_1_processed,-0.03978620734765691,0.03978620734765691,0.23080072998954732,-0.8999999999999998,0.6749999915625001,1.0,23479,0.2986997931753315,0.9080923364871675,0.8999991000008999,0.6749999915625001,1.0,0.7329478511501798
auto_std_60_processed,-0.03978620734765691,0.03978620734765691,0.23080072998954732,-0.8999999999999998,0.6749999915625001,1.0,23479,0.2986997931753315,0.9080923364871675,0.8999991000008999,0.6749999915625001,1.0,0.7329478511501798
auto_amount_ma_30_processed,-0.03491922973834383,0.03491922973834383,0.3454661617069575,-0.8999999999999998,0.6749999915625001,1.0,23479,0.22217564038627952,0.972180055880394,0.8999991000008999,0.6749999915625001,1.0,0.7298387428012234
auto_amount_ma_30_1_processed,-0.03491922973834383,0.03491922973834383,0.3454661617069575,-0.8999999999999998,0.6749999915625001,1.0,23479,0.22217564038627952,0.972180055880394,0.8999991000008999,0.6749999915625001,1.0,0.7298387428012234
auto_open_ratio_60_processed,-0.056831451634345866,0.056831451634345866,-0.37496168105820077,-0.8999999999999998,0.6749999915625001,1.0,23479,0.5667044940034908,0.5695253347610667,0.8999991000008999,0.6749999915625001,1.0,0.7153072759256944
auto_open_ratio_60_1_processed,-0.056831451634345866,0.056831451634345866,-0.37496168105820077,-0.8999999999999998,0.6749999915625001,1.0,23479,0.5667044940034908,0.5695253347610667,0.8999991000008999,0.6749999915625001,1.0,0.7153072759256944
auto_open_log_return_60_processed,-0.056346335021794355,0.056346335021794355,-0.38235781953576103,-0.8999999999999998,0.6749999915625001,1.0,23479,0.5590769393362238,0.5653915549440466,0.8999991000008999,0.6749999915625001,1.0,0.7123669423046226
auto_open_log_return_60_1_processed,-0.056346335021794355,0.056346335021794355,-0.38235781953576103,-0.8999999999999998,0.6749999915625001,1.0,23479,0.5590769393362238,0.5653915549440466,0.8999991000008999,0.6749999915625001,1.0,0.7123669423046226
auto_quantile_0.75_30_processed,-0.03292140258044634,0.03292140258044634,0.25520518267266623,-0.8999999999999998,0.6749999915625001,1.0,23479,0.1907635314863903,0.9217322425344886,0.8999991000008999,0.6749999915625001,1.0,0.7093737622397748
auto_quantile_0.75_30_1_processed,-0.03292140258044634,0.03292140258044634,0.25520518267266623,-0.8999999999999998,0.6749999915625001,1.0,23479,0.1907635314863903,0.9217322425344886,0.8999991000008999,0.6749999915625001,1.0,0.7093737622397748
auto_high_ratio_60_processed,-0.05213989239205868,0.05213989239205868,-0.4320384503062707,-0.9999999999999999,0.6749999915625001,1.0,23479,0.4929384681256061,0.5376245263251198,0.999999000001,0.6749999915625001,1.0,0.7088905473472565
auto_high_ratio_60_1_processed,-0.05213989239205868,0.05213989239205868,-0.4320384503062707,-0.9999999999999999,0.6749999915625001,1.0,23479,0.4929384681256061,0.5376245263251198,0.999999000001,0.6749999915625001,1.0,0.7088905473472565
auto_quantile_0.25_60_processed,-0.029042691394415752,0.029042691394415752,0.2091715589657276,-0.9999999999999999,0.6749999915625001,1.0,23479,0.12977802646650963,0.8960035646356923,0.999999000001,0.6749999915625001,1.0,0.7076951965101256
auto_quantile_0.25_60_1_processed,-0.029042691394415752,0.029042691394415752,0.2091715589657276,-0.9999999999999999,0.6749999915625001,1.0,23479,0.12977802646650963,0.8960035646356923,0.999999000001,0.6749999915625001,1.0,0.7076951965101256
auto_quantile_0.75_60_processed,-0.03160903304090037,0.03160903304090037,0.2550951519664748,-0.8999999999999998,0.6749999915625001,1.0,23479,0.17012896621373683,0.9216707452120836,0.8999991000008999,0.6749999915625001,1.0,0.7041997465910101
auto_quantile_0.75_60_1_processed,-0.03160903304090037,0.03160903304090037,0.2550951519664748,-0.8999999999999998,0.6749999915625001,1.0,23479,0.17012896621373683,0.9216707452120836,0.8999991000008999,0.6749999915625001,1.0,0.7041997465910101
auto_quantile_0.9_30_1_processed,-0.0313323459858565,0.0313323459858565,0.24776550660794033,-0.8999999999999998,0.6749999915625001,1.0,23479,0.1657785779081867,0.9175741291007233,0.8999991000008999,0.6749999915625001,1.0,0.7020879954867826
auto_quantile_0.9_30_processed,-0.0313323459858565,0.0313323459858565,0.24776550660794033,-0.8999999999999998,0.6749999915625001,1.0,23479,0.1657785779081867,0.9175741291007233,0.8999991000008999,0.6749999915625001,1.0,0.7020879954867826
auto_quantile_0.1_20_1_processed,-0.03495535359524705,0.03495535359524705,0.14095539413692926,-0.8999999999999998,0.6749999915625001,1.0,23479,0.2227436207155299,0.8578768305001218,0.8999991000008999,0.6749999915625001,1.0,0.701404931538468
auto_quantile_0.1_20_processed,-0.03495535359524705,0.03495535359524705,0.14095539413692926,-0.8999999999999998,0.6749999915625001,1.0,23479,0.2227436207155299,0.8578768305001218,0.8999991000008999,0.6749999915625001,1.0,0.701404931538468
auto_amount_ma_60_processed,-0.025765646483675228,0.025765646483675228,0.3952404686305176,-0.8999999999999998,0.6749999915625001,1.0,23479,0.07825260235807882,0.999999441089451,0.8999991000008999,0.6749999915625001,1.0,0.7008128295964374
auto_amount_ma_60_1_processed,-0.025765646483675228,0.025765646483675228,0.3952404686305176,-0.8999999999999998,0.6749999915625001,1.0,23479,0.07825260235807882,0.999999441089451,0.8999991000008999,0.6749999915625001,1.0,0.7008128295964374
auto_skew_30_1_processed,0.033589260691833156,0.033589260691833156,0.2146886441825961,0.8999999999999998,0.6374999920312501,1.0,23479,0.20126435566511214,0.8990871217631671,0.8999991000008999,0.6374999920312501,1.0,0.7007126881619373
auto_skew_30_processed,0.033589260691833156,0.033589260691833156,0.2146886441825961,0.8999999999999998,0.6374999920312501,1.0,23479,0.20126435566511214,0.8990871217631671,0.8999991000008999,0.6374999920312501,1.0,0.7007126881619373
