date,portfolio_return,benchmark_return,excess_return
2020-04-07,0.0,0.022538736359996703,-0.022538736359996703
2020-04-08,0.0,-0.008110565597080344,0.008110565597080344
2020-04-09,0.0,-0.01992937663446892,0.01992937663446892
2020-04-10,0.0,0.014288219052241091,-0.014288219052241091
2020-04-13,0.0,0.0119401927437639,-0.0119401927437639
2020-04-14,0.0,0.02306042877525294,-0.02306042877525294
2020-04-15,0.0,-0.04696717010517726,0.04696717010517726
2020-04-16,0.0,-0.00896856457518036,0.00896856457518036
2020-04-17,0.0,0.01056197880130716,-0.01056197880130716
2020-04-20,0.0,-0.010451589336297418,0.010451589336297418
2020-04-21,0.0,-0.0416930645364928,0.0416930645364928
2020-04-22,0.0,0.008472906491251875,-0.008472906491251875
2020-04-23,0.0,-0.009925496893640973,0.009925496893640973
2020-04-24,0.0,-0.02446390532544407,0.02446390532544407
2020-04-27,0.0,0.01563697945477993,-0.01563697945477993
2020-04-28,0.0,0.039801013595025525,-0.039801013595025525
2020-04-29,0.0,0.03593674099743582,-0.03593674099743582
2020-04-30,0.0,-0.004462619944346602,0.004462619944346602
2020-05-06,0.0,-0.03989251503675628,0.03989251503675628
2020-05-07,0.0,-0.02196486711768031,0.02196486711768031
2020-05-08,0.0,0.022458157564287706,-0.022458157564287706
2020-05-11,0.0,0.011456847541921888,-0.011456847541921888
2020-05-12,0.0,-0.036019539258089206,0.036019539258089206
2020-05-13,0.0,0.0,0.0
2020-05-14,0.0,-0.03364958521778871,0.03364958521778871
2020-05-15,0.0,0.0,0.0
2020-05-18,0.0,0.057290599733647474,-0.057290599733647474
2020-05-19,0.0,-0.006095223898890834,0.006095223898890834
2020-05-20,0.0,-0.039404965223633015,0.039404965223633015
2020-05-21,0.0,-0.0023414626113842374,0.0023414626113842374
2020-05-22,0.0,-0.03256856870563829,0.03256856870563829
2020-05-25,0.0,0.023989551133477116,-0.023989551133477116
2020-05-26,0.0,0.02927639678154459,-0.02927639678154459
2020-05-27,0.0,0.005427398447426235,-0.005427398447426235
2020-05-28,0.0,0.01861868487351126,-0.01861868487351126
2020-05-29,0.0,-0.03338155034775381,0.03338155034775381
2020-06-01,0.0,0.05521658162879062,-0.05521658162879062
2020-06-02,0.0,0.06464876033057854,-0.06464876033057854
2020-06-03,0.0,-0.029152947315535416,0.029152947315535416
2020-06-04,0.0,-0.008179924751410828,0.008179924751410828
2020-06-05,0.0,-0.023799816625189596,0.023799816625189596
2020-06-08,0.0,0.014440246364059606,-0.014440246364059606
2020-06-09,0.0,-0.011993894510712755,0.011993894510712755
2020-06-10,0.0,-0.019570471549776758,0.019570471549776758
2020-06-11,0.0,-0.021275987303039923,0.021275987303039923
2020-06-12,0.0,-0.014617999135373538,0.014617999135373538
