Model,MSE,MAE,Direction_Accuracy
LSTM,0.0048487200401723385,0.05033034831285477,0.5907840440165062
GRU,0.004384140018373728,0.047095056623220444,0.4160935350756534
AttentionLSTM,0.00431962963193655,0.04744727537035942,0.4816597890875745
