date,return,n_stocks,avg_pred,avg_actual,cumulative_return
2024-11-07,0.008976790122687817,30,0.04767347,0.00997679,1.0089767901226878
2024-11-08,-0.012525512836873531,30,0.04536555,-0.011525513,0.9963388383858987
2024-11-11,-0.051000000000000004,30,0.040775582,-0.058584426,0.9455255576282178
2024-11-12,-0.051000000000000004,30,0.035875864,-0.053911414,0.8973037541891786
2024-11-13,-0.01392163522541523,30,0.03309137,-0.012921635,0.8848118186369612
2024-11-14,-0.004781115334481001,30,0.030297844,-0.0037811154,0.880581431282746
2024-11-15,-0.023054543882608414,30,0.030996028,-0.022054544,0.8602800280330278
2024-11-18,0.004819780588150024,30,0.033259597,0.0058197808,0.8644263890125146
2024-11-19,-0.019893044605851173,30,0.036691625,-0.018893044,0.8472303162974137
2024-11-20,-0.024958066642284393,30,0.03245887,-0.023958066,0.8260850856018992
2024-11-21,-0.01557022426277399,30,0.031088475,-0.014570224,0.8132227555589447
2024-11-22,0.0435667522251606,30,0.03218064,0.04456675,0.8486522298542436
2024-11-25,0.04143887013196945,30,0.039386846,0.04243887,0.8838194193943799
2024-11-26,0.06303829699754715,30,0.033865597,0.0640383,0.9395338904463625
2024-11-27,0.02751915156841278,30,0.03321039,0.028519152,0.9653890659812164
2024-11-28,0.03508604317903519,30,0.032801315,0.03608604,0.9992607484348018
2024-11-29,0.02805752120912075,30,0.03280023,0.029057521,1.0272975280774532
2024-12-02,0.011076606810092926,30,0.030213274,0.012076607,1.0386764988729476
2024-12-03,0.014236466959118843,30,0.028295498,0.015236467,1.0534635825303655
2024-12-04,0.04097997024655342,30,0.03139033,0.04197997,1.0966344887982875
2024-12-05,0.022913305088877678,30,0.034005072,0.023913305,1.121762009411108
2024-12-06,-0.005610072519630194,30,0.03213876,-0.0046100724,1.1154688431885456
2024-12-09,-0.01557166874408722,30,0.030227367,-0.014571669,1.0980991318680633
2024-12-10,-0.049723777920007706,30,0.033630192,-0.04872378,1.0434974945009026
2024-12-11,-0.03893030434846878,30,0.031313874,-0.037930306,1.0028738194531177
2024-12-12,-0.051000000000000004,30,0.034456227,-0.064233914,0.9517272546610087
2024-12-13,-0.03640413656830788,30,0.027635008,-0.03540414,0.9170804457065487
2024-12-16,-0.051000000000000004,30,0.034583285,-0.06549032,0.8703093429755147
2024-12-17,-0.03200097009539604,30,0.03232012,-0.03100097,0.8424585997172115
2024-12-18,-0.051000000000000004,30,0.03687887,-0.064925365,0.7994932111316336
2024-12-19,-0.04236083850264549,30,0.027712949,-0.04136084,0.7656260083309251
2024-12-20,-0.048843465745449066,30,0.025896871,-0.047843467,0.7282301806191886
2024-12-23,-0.009523225016891956,30,0.02194715,-0.008523225,0.7212950807450602
2024-12-24,-0.04355504736304283,30,0.031899624,-0.04255505,0.6898790393404793
2024-12-25,-0.0375836156308651,30,0.027336849,-0.036583617,0.6639508906941163
2024-12-26,-0.051000000000000004,30,0.028253222,-0.07436167,0.6300893952687163
2024-12-27,-0.051000000000000004,30,0.026617922,-0.07927163,0.5979548361100118
2024-12-30,-0.037190865725278854,30,0.028796833,-0.036190867,0.5757163780904632
2024-12-31,-0.02340475097298622,30,0.02734677,-0.02240475,0.5622418796301863
2025-01-02,-0.025312000885605812,30,0.03396263,-0.024312,0.5480104126750623
2025-01-03,-0.01429797988384962,30,0.036967892,-0.01329798,0.5401749708184942
2025-01-06,-0.0010000000474974513,30,0.038034607,0.0,0.5396347958220188
2025-01-07,-0.0010000000474974513,30,0.03867462,0.0,0.5390951610005655
2025-01-08,-0.0010000000474974513,30,0.039027262,0.0,0.5385560658139593
2025-01-09,-0.0010000000474974513,30,0.03763267,0.0,0.5380175097225653
