top_n,stop_loss,take_profit,total_return,annualized_return,sharpe,max_drawdown,win_rate,profit_loss_ratio,ic
20,-0.03,0.05,-0.020818377297885604,-0.11113824021755214,-0.3042598661463118,-0.28689941096673754,0.4222222222222222,1.1330811111806665,-0.09752755519342486
30,-0.05,0.08,-0.20207724062147425,-0.7175245069048802,-1.684070994494968,-0.39126048971674365,0.37777777777777777,0.9088392011501151,-0.11294640001149457
50,-0.05,0.1,-0.32455271644786143,-0.8889004825199034,-2.070680815817201,-0.4188411237695121,0.3111111111111111,0.9065627661319475,-0.055880061209250376
30,-0.08,0.12,-0.2368491625923952,-0.7799009557884398,-1.708607653184753,-0.41778817363526266,0.37777777777777777,0.8484083377358304,-0.11294640001149457
40,-0.05,0.08,-0.30116503410331785,-0.8655694706148904,-2.0537879836756,-0.4166585702332397,0.3333333333333333,0.8543521483420041,-0.07536228160543113
