Metric,Strategy,Benchmark,Excess
Total Return,-0.9999614937679985,-0.9698276481584924,-0.9999318887572997
Annual Return,-0.8407881168927634,-0.46893004975262165,-0.8234973722505834
Annual Volatility,0.5932467198348123,0.7374839539206002,0.924982159794135
Sharpe Ratio,-1.4678346930181625,-0.6765300412303452,-0.9227176580795231
Max Drawdown,-0.9999615486717975,-0.980980708398307,-0.9999692600911595
Win Rate,0.3314203730272597,0.43113342898134865,0.5143472022955524
Profit Factor,0.41681482171477596,0.913482956181105,0.7715097751766498
Trading Days,1394.0,1394.0,1394.0
