metric,value
Total Return,0.009828427397328587
Annual Return,0.001769620982392306
Annual Volatility,0.5968842921174559
Sharpe Ratio,-0.047296233776667175
Max Drawdown,-0.8321928011170971
Win Rate,0.48708751793400284
Profit Factor,1.05956535395519
Information Ratio,0.29949292596811394
Max Consecutive Wins,8.0
Max Consecutive Losses,7.0
Trading Days,1394.0
