date,stock,action,shares,price,amount,fee
2020-04-13,000605.SZ,buy,654800,6.362949640287774,4166459.424460435,5833.0431942446085
2020-04-13,000779.SZ,buy,336500,12.380908212560389,4166175.6135265706,5832.645858937199
2020-04-13,001914.SZ,buy,127500,32.672719836400795,4165771.7791411015,5832.080490797542
2020-04-13,002033.SZ,buy,674100,6.180571428571432,4166323.2000000025,5832.852480000003
2020-04-13,002489.SZ,buy,1013400,4.111498829039814,4166592.913348947,5833.230078688526
2020-04-13,002535.SZ,buy,2190700,1.9019081272084828,4166510.134275623,5833.114187985872
2020-04-13,002566.SZ,buy,504100,8.264206586826345,4165986.540419161,5832.381156586825
2020-04-13,002675.SZ,buy,290000,14.36509987515606,4165878.9637952577,5832.230549313361
2020-04-13,002688.SZ,buy,434200,9.595677321156767,4166443.0928462683,5833.020329984775
2020-04-13,002795.SZ,buy,319100,13.056937631394522,4166468.798177992,5833.056317449189
2020-04-13,002907.SZ,buy,193000,21.57800358637179,4164554.692169755,5830.376569037658
2020-04-13,300171.SZ,buy,394900,10.55077348066298,4166500.4475138104,5833.100626519335
2020-04-13,300221.SZ,buy,874600,4.763790737564318,4166411.3790737526,5832.975930703254
2020-04-13,300562.SZ,buy,207600,20.065376134889757,4165572.0856031133,5831.800919844359
2020-04-13,300803.SZ,buy,49900,83.49892104595078,4166596.160192944,5833.2346242701215
2020-04-13,600110.SH,buy,772300,5.395061983471076,4166606.3698347122,5833.2489177685975
2020-04-13,600808.SH,buy,1964500,2.1209061488673138,4166520.129449838,5833.128181229773
2020-04-13,600834.SH,buy,764600,5.449049531459169,4166343.2717536804,5832.880580455152
2020-04-13,601588.SH,buy,1861600,2.238108108108108,4166462.0540540535,5833.0468756756745
2020-04-13,601899.SH,buy,1236900,3.368421052631581,4166400.0000000023,5832.960000000003
2020-04-13,603298.SH,buy,372700,11.176684656900532,4165550.3716268283,5831.77052027756
2020-04-13,603360.SH,buy,152100,27.392472903593845,4166395.1286366237,5832.953180091273
2020-04-13,603369.SH,buy,158200,26.33460869565216,4166135.095652172,5832.58913391304
2020-04-15,000605.SZ,sell,654800,5.875122302158276,3847030.0834532394,5385.842116834535
2020-04-15,000779.SZ,sell,336500,11.227864734299516,3778176.483091787,5289.447076328502
2020-04-15,002033.SZ,sell,674100,5.867682539682543,3955404.8000000026,5537.566720000003
2020-04-15,002489.SZ,sell,1013400,3.709695550351288,3759405.4707259955,5263.167659016393
2020-04-15,300221.SZ,sell,874600,4.443927958833616,3886659.3927958803,5441.323149914232
2020-04-15,300803.SZ,sell,49900,78.90486164001018,3937352.595836508,5512.293634171111
2020-04-15,603360.SH,sell,152100,24.990302338847695,3801024.9857387342,5321.434980034228
2020-04-16,002535.SZ,sell,2190700,1.6182332155477055,3545063.5053003584,4963.0889074205015
2020-04-16,600834.SH,sell,764600,5.245997322623828,4011089.552878179,5615.525374029451
2020-04-16,603369.SH,sell,158200,24.6618757763975,3901508.7478260845,5462.112246956518
2020-04-16,603659.SH,buy,364200,58.22375862472229,21205092.891123857,29687.1300475734
2020-04-17,002795.SZ,sell,319100,12.601829011913091,4021243.6377014676,5629.741092782055
2020-04-17,000816.SZ,buy,4717100,1.0681456953642383,5038550.059602649,7053.970083443708
2020-04-17,000958.SZ,buy,1467800,3.432624113475179,5038405.673758868,7053.767943262415
2020-04-17,002222.SZ,buy,541100,9.311061806656092,5038215.5435816115,7053.501761014256
2020-04-17,002580.SZ,buy,994700,5.065351851851848,5038505.487037034,7053.907681851847
2020-04-20,002566.SZ,sell,504100,8.30875748502994,4188444.6482035927,5863.82250748503
2020-04-20,002425.SZ,buy,302400,4.342153846153843,1313067.323076922,1838.2942523076908
2020-04-20,002878.SZ,buy,40800,32.18148375229923,1313004.5370938086,1838.2063519313322
2020-04-20,300192.SZ,buy,68000,19.289413407821232,1311680.1117318438,1836.3521564245814
2020-04-20,300377.SZ,buy,136300,9.634552301255232,1313189.478661088,1838.4652701255231
2020-04-20,600177.SH,buy,225200,5.830208913649029,1312963.0473537613,1838.1482662952658
2020-04-20,600678.SH,buy,212200,6.186740395809078,1312826.3119906865,1837.956836786961
2020-04-21,000958.SZ,sell,1467800,3.370496453900711,4947214.695035463,6926.100573049648
2020-04-21,001914.SZ,sell,127500,30.337914110429416,3868084.0490797507,5415.317668711651
2020-04-21,002425.SZ,sell,302400,4.2223760683760645,1276846.523076922,1787.5851323076906
2020-04-21,002580.SZ,sell,994700,4.816666666666662,4791138.333333328,6707.593666666659
2020-04-21,002688.SZ,sell,434200,9.668325722983257,4197987.02891933,5877.181840487062
2020-04-21,002907.SZ,sell,193000,21.600723251643764,4168939.5875672465,5836.515422594145
2020-04-21,300562.SZ,sell,207600,20.98833333333333,4357177.999999999,6100.049199999999
2020-04-21,600808.SH,sell,1964500,2.087896440129449,4101672.5566343027,5742.341579288024
2020-04-21,601588.SH,sell,1861600,2.1730030030030023,4045262.390390389,5663.3673465465445
2020-04-21,601899.SH,sell,1236900,3.521705263157897,4355997.240000003,6098.396136000004
2020-04-21,000920.SZ,buy,1180300,5.005952380952378,5908525.595238091,8271.935833333328
2020-04-21,002246.SZ,buy,591900,9.982118421052633,5908415.893421053,8271.782250789474
2020-04-21,600602.SH,buy,849000,6.958680142687278,5907919.441141499,8271.087217598099
2020-04-21,600702.SH,buy,332500,17.76636842105263,5907317.499999999,8270.244499999999
2020-04-21,603126.SH,buy,1450700,4.072747474747476,5908334.761616163,8271.668666262629
2020-04-21,603860.SH,buy,222000,26.609057971014494,5907210.869565218,8270.095217391305
2020-04-22,002246.SZ,sell,591900,9.417315789473683,5574109.215789473,7803.7529021052615
2020-04-22,600110.SH,sell,772300,5.847603305785126,4516104.033057854,6322.545646280995
2020-04-22,000011.SZ,buy,146600,9.0555625657203,1327545.472134596,1858.5636609884343
2020-04-22,002042.SZ,buy,345900,3.8390405405405392,1327924.1229729725,1859.0937721621615
2020-04-22,002425.SZ,buy,308300,4.30776068376068,1328082.6188034178,1859.3156663247848
2020-04-22,002707.SZ,buy,374200,3.5493838862559275,1328179.450236968,1859.4512303317551
2020-04-22,300447.SZ,buy,88700,14.962765531062123,1327197.3026052103,1858.0762236472945
2020-04-22,300720.SZ,buy,102900,12.897524053880693,1327155.2251443232,1858.0173152020525
2020-04-22,300735.SZ,buy,49300,26.93023907358981,1327660.7863279777,1858.7251008591686
2020-04-22,600053.SH,buy,57600,23.029831962817298,1326518.3210582763,1857.1256494815868
2020-04-22,600138.SH,buy,163700,8.112195312499994,1327966.372656249,1859.1529217187485
2020-04-22,603103.SH,buy,128600,10.32097820577801,1327277.797263052,1858.188916168273
2020-04-22,603661.SH,buy,48200,27.538997549565583,1327379.6818890611,1858.3315546446856
2020-04-23,600177.SH,sell,225200,5.704735376044574,1284706.406685238,1798.588969359333
2020-04-23,600678.SH,sell,212200,5.590791618160649,1186365.9813736898,1660.9123739231657
2020-04-23,000045.SZ,buy,193300,6.522637795275584,1260825.8858267702,1765.1562401574784
