feature,importance
kdj_long_k,0.06524767478061691
ma_5_slope,0.0626126867591909
kdj_long_d,0.06207257026959688
kdj_long_j,0.060749327802137223
volume_ma_20,0.05945113974898489
kdj_fast_d,0.058401004153007294
high_low_ratio,0.05752378269314438
volume_ma_5,0.05697421209475568
ma_60,0.05429508796690297
volume_ma_10,0.05373434518312531
kdj_fast_k,0.051581535768363336
ma_20,0.05000978232715707
ma_5,0.047380903227782614
kdj_fast_j,0.044196692790094326
ma_5_prev,0.044179845839740134
ma_10_prev,0.042209955700913765
ma_10,0.041517269875159135
pct_chg,0.040642468859427995
close_open_ratio,0.040631775760063465
upper_shadow_ratio,0.003917789071343762
lower_shadow_ratio,0.0026701493284920818
