feature,importance
kdj_long_d,287
ma_60,215
kdj_fast_d,212
volume_ma_20,198
kdj_long_j,178
high_low_ratio,171
volume_ma_5,154
kdj_long_k,144
kdj_fast_j,142
ma_5_slope,141
ma_20,131
volume_ma_10,124
pct_chg,119
ma_5,99
kdj_fast_k,86
close_open_ratio,75
lower_shadow_ratio,67
upper_shadow_ratio,66
ma_10_prev,64
ma_10,61
ma_5_prev,58
