Metric,Strategy,Benchmark,Excess
Total Return,-0.9999606428913649,-0.9698276481584924,-0.9999301443408208
Annual Return,-0.8401578095754443,-0.46893004975262165,-0.8226886294365537
Annual Volatility,0.592388611284074,0.7374839539206002,0.9241605893098506
Sharpe Ratio,-1.4688969250932624,-0.6765300412303452,-0.922662835117573
Max Drawdown,-0.9999607129430135,-0.980980708398307,-0.9999685701325722
Win Rate,0.3321377331420373,0.43113342898134865,0.5136298421807748
Profit Factor,0.4171793335669554,0.913482956181105,0.7719175526306794
Trading Days,1394.0,1394.0,1394.0
