date,portfolio_nav,benchmark_nav
2020-04-03,100000000.0,22.009609950859957
2020-04-07,99861332.99871477,22.50567874692875
2020-04-08,97721353.54577757,22.32314496314497
2020-04-09,100178307.19319245,21.878258599508605
2020-04-10,93831640.2309753,22.19085995085996
2020-04-13,89472689.3111922,22.4558230958231
2020-04-14,90272975.06537247,22.97366400491401
2020-04-15,86648150.4638529,21.894656019656026
2020-04-16,86189862.66683272,21.69829238329238
2020-04-17,86562250.70799589,21.92746928746928
2020-04-20,82929128.44727474,21.698292383292376
2020-04-21,80849000.80814819,20.793624078624077
2020-04-22,81046142.16907236,20.969806511056504
2020-04-23,81439962.57023232,20.76167076167076
2020-04-24,77706998.71828257,20.253759213759206
2020-04-27,74297414.21902226,20.57046683046682
2020-04-28,70587873.8529671,21.38919226044225
2020-04-29,69980242.59025471,22.15785012285012
2020-04-30,71852831.1669367,22.05896805896805
2020-05-06,72774679.80204855,21.17898034398034
2020-05-07,72937723.1249629,20.713786855036847
2020-05-08,72999561.21119258,21.17898034398034
2020-05-11,71921727.541002,21.421624692874683
2020-05-12,70326673.7585184,20.65002764127763
2020-05-13,69689455.7995001,20.65002764127763
2020-05-14,68619839.32153541,19.955162776412767
2020-05-15,66929102.85836481,19.955162776412767
2020-05-18,63596864.8040936,21.09840601965601
2020-05-19,64937771.37436234,20.9698065110565
2020-05-20,62957386.5908258,20.143492014742005
2020-05-21,62539534.48465441,20.09632678132677
2020-05-22,58211255.415534906,19.44181818181817
2020-05-25,54270721.30865636,19.908218673218663
2020-05-26,54692570.77737642,20.491059582309568
2020-05-27,53044012.82809132,20.602272727272712
2020-05-28,52029412.97184152,20.98585995085994
2020-05-29,51237935.71386474,20.2853194103194
2020-06-01,54176297.61204339,21.40540540540539
2020-06-02,56476804.82678171,22.789238329238312
2020-06-03,55829043.27177137,22.124864864864847
2020-06-04,56071047.51441426,21.94388513513512
2020-06-05,54161126.14006355,21.42162469287468
2020-06-08,53964127.16080168,21.730958230958212
2020-06-09,54326119.91645683,21.470319410319394
2020-06-10,53817310.634268984,21.05013513513512
2020-06-11,52082890.71841739,20.60227272727271
2020-06-12,51160049.310015656,20.301108722358705
2020-06-15,51770839.6813201,20.127764127764117
