date,portfolio_return,benchmark_return,excess_return
2020-04-07,-0.001386670012852198,0.022538736359996703,-0.0239254063728489
2020-04-08,-0.021429510188540557,-0.008110565597080344,-0.013318944591460213
2020-04-09,0.025142443880128207,-0.01992937663446892,0.04507182051459713
2020-04-10,-0.06335370540827456,0.014288219052241091,-0.07764192446051565
2020-04-13,-0.0464550220911959,0.0119401927437639,-0.0583952148349598
2020-04-14,0.008944469651480214,0.02306042877525294,-0.014115959123772726
2020-04-15,-0.04015403944419249,-0.04696717010517726,0.0068131306609847675
2020-04-16,-0.005289066120474972,-0.00896856457518036,0.0036794984547053877
2020-04-17,0.0043205549891944806,0.01056197880130716,-0.006241423812112679
2020-04-20,-0.04197120836167845,-0.010451589336297418,-0.03151961902538103
2020-04-21,-0.02508319667737824,-0.0416930645364928,0.016609867859114558
2020-04-22,0.0024383895775283992,0.008472906491251875,-0.0060345169137234755
2020-04-23,0.004859212179876504,-0.009925496893640973,0.014784709073517477
2020-04-24,-0.045837003531656983,-0.02446390532544407,-0.021373098206212915
2020-04-27,-0.043877444187766734,0.01563697945477993,-0.059514423642546666
2020-04-28,-0.04992825665668199,0.039801013595025525,-0.08972927025170752
2020-04-29,-0.0086081536324224,0.03593674099743582,-0.04454489462985822
2020-04-30,0.026758818023056685,-0.004462619944346602,0.031221437967403287
2020-05-06,0.012829677274234452,-0.03989251503675628,0.052722192310990734
2020-05-07,0.0022403853010117825,-0.02196486711768031,0.02420525241869209
2020-05-08,0.0008478203538617723,0.022458157564287706,-0.021610337210425934
2020-05-11,-0.01476493354627606,0.011456847541921888,-0.02622178108819795
2020-05-12,-0.022177634450928352,-0.036019539258089206,0.013841904807160854
2020-05-13,-0.009060828914023822,0.0,-0.009060828914023822
2020-05-14,-0.015348325879341429,-0.03364958521778871,0.018301259338447284
2020-05-15,-0.024639178405070683,0.0,-0.024639178405070683
2020-05-18,-0.04978757987123905,0.057290599733647474,-0.10707817960488653
2020-05-19,0.02108447600993113,-0.006095223898890834,0.027179699908821964
2020-05-20,-0.03049665459135853,-0.039404965223633015,0.008908310632274485
2020-05-21,-0.006637062444905917,-0.0023414626113842374,-0.004295599833521679
2020-05-22,-0.069208687029507,-0.03256856870563829,-0.03664011832386871
2020-05-25,-0.06769368017833433,0.023989551133477116,-0.09168323131181144
2020-05-26,0.007773058078975215,0.02927639678154459,-0.021503338702569375
2020-05-27,-0.030142264769295157,0.005427398447426235,-0.03556966321672139
2020-05-28,-0.01912750944273367,0.01861868487351126,-0.03774619431624493
2020-05-29,-0.015212112010664525,-0.03338155034775381,0.018169438337089283
2020-06-01,0.05734739031228253,0.05521658162879062,0.0021308086834919138
2020-06-02,0.04246335235405452,0.06464876033057854,-0.02218540797652402
2020-06-03,-0.011469514909653089,-0.029152947315535416,0.017683432405882327
2020-06-04,0.0043347374137296946,-0.008179924751410828,0.012514662165140522
2020-06-05,-0.034062523512865095,-0.023799816625189596,-0.010262706887675499
2020-06-08,-0.0036372762773140277,0.014440246364059606,-0.018077522641373633
2020-06-09,0.006708025770091552,-0.011993894510712755,0.018701920280804307
2020-06-10,-0.009365831444805961,-0.019570471549776758,0.010204640104970797
2020-06-11,-0.032227918775769804,-0.021275987303039923,-0.010951931472729881
2020-06-12,-0.017718705618530506,-0.014617999135373538,-0.0031007064831569675
2020-06-15,0.011938815140760006,-0.008538676235139597,0.020477491375899604
