date,stock,shares,price,value
2020-04-24,002233.SZ,19605,14.320523846755282,280753.8700156373
2020-04-24,300192.SZ,49508,23.83412011173184,1179979.6184916198
2020-04-24,002580.SZ,182482,4.866374999999995,888025.8427499991
2020-04-24,300707.SZ,95455,13.19169342885374,1259213.096251234
2020-04-24,002716.SZ,605428,0.7878919860627177,477011.86933797906
2020-04-24,300564.SZ,32806,20.449989339019183,670882.3502558633
2020-04-24,603360.SH,4952,23.484666286366235,116296.0674500856
2020-04-24,002482.SZ,289137,3.0159105960264885,872011.3420033108
2020-04-24,600673.SH,163396,5.06785175879397,828066.7059798995
2020-04-24,600279.SH,285651,2.9472210065645514,841876.6277461707
2020-04-24,600602.SH,19499,6.349137931034484,123801.8405172414
2020-04-24,600115.SH,293518,2.937162969283276,862110.2004180887
2020-04-24,603616.SH,121820,6.032706586826347,734904.3164071855
2020-04-24,603908.SH,41939,19.70159730363422,826265.2893171156
2020-04-24,300717.SZ,65486,12.209391973445989,799544.242773084
2020-04-24,600834.SH,164132,5.231342034805889,858630.6308567602
2020-04-24,000920.SZ,162632,4.752455357142853,772901.3196428565
2020-04-24,300468.SZ,3931,38.48028181818181,151265.98782727268
2020-04-24,300377.SZ,94483,9.05723430962343,855754.6692761505
2020-04-24,002222.SZ,96689,9.093098256735331,879202.5773454824
2020-04-24,002042.SZ,229446,3.678587837837836,844037.2650405401
2020-04-24,600015.SH,156135,5.290428571428571,826021.0649999998
2020-04-24,603103.SH,85229,10.167847187024844,866595.4479029404
2020-04-24,600138.SH,113525,8.128093749999994,922741.8429687493
2020-04-24,000045.SZ,121379,6.428103674540676,780236.7959120726
2020-04-24,603038.SH,59761,12.315812584118438,736005.275839502
2020-04-24,002021.SZ,494900,1.8533,917198.1699999999
2020-04-24,002483.SZ,143662,5.272693208430915,757485.6517096021
2020-04-24,601339.SH,289239,2.8566044776119384,826241.4224999994
2020-04-24,000592.SZ,393381,1.9006833910034613,747692.7330363326
2020-04-24,603220.SH,39610,16.500768722466965,653595.4490969165
2020-04-24,603661.SH,33553,29.186905769659145,979308.2492893733
2020-04-24,002425.SZ,202542,4.0853076923076905,827446.3906153842
2020-04-24,001872.SZ,17993,11.736974912485412,211183.38960035003
2020-04-24,601996.SH,317804,2.4855332167832187,789912.3984265741
2020-04-24,000766.SZ,92,5.0473097412481005,464.3524961948252
2020-04-24,603298.SH,88136,12.553400154201997,1106406.475990747
2020-04-24,603860.SH,34754,27.630815217391305,960281.3520652174
2020-04-24,002535.SZ,84,1.2454770318021218,104.62007067137823
2020-04-24,000002.SZ,37466,20.332628992628987,761782.2778378376
2020-04-24,603126.SH,225400,4.034217171717173,909312.5505050508
2020-04-24,300548.SZ,6991,102.20098541150566,714487.089011836
2020-04-24,300725.SZ,10775,91.36027091254748,984406.9190826991
2020-04-24,000809.SZ,451717,1.8015062761506269,813771.0105439327
2020-04-24,000011.SZ,108783,8.600055205047324,935539.8053706631
2020-04-24,002688.SZ,12158,9.75917808219178,118652.08712328767
2020-04-24,300721.SZ,42222,16.871387733887744,712343.7329002083
2020-04-24,002471.SZ,81900,2.382531250000001,195129.30937500007
2020-04-24,600678.SH,148978,5.343143189755527,796010.7861233989
2020-04-24,600053.SH,35115,21.01394351090454,737904.6263854129
2020-04-24,300465.SZ,17391,17.68300826848252,307525.1967971795
2020-04-24,600035.SH,295972,2.9280959302325567,866634.4086627903
2020-04-24,603279.SH,41739,19.94856622667272,832633.2057350927
2020-04-24,300803.SZ,13092,65.28026275704498,854649.2000152329
2020-04-24,002554.SZ,335339,2.2622861842105286,758632.7867269744
2020-04-24,600755.SH,160125,5.231568825910935,837704.9582489885
2020-04-27,000779.SZ,3000,12.46020289855073,37380.60869565219
2020-04-27,603369.SH,1100,32.04384937888196,35248.234316770155
2020-04-27,600313.SH,7100,5.3067822580645165,37678.15403225807
2020-04-27,001914.SZ,900,39.80493737218811,35824.4436349693
2020-04-27,600110.SH,8400,4.467438016528927,37526.47933884299
2020-04-27,603309.SH,1600,23.00586630286497,36809.38608458395
2020-04-27,300447.SZ,75973,13.392374749498996,1017458.8868436873
2020-04-27,002524.SZ,126336,5.80770793950851,733722.5902457471
2020-04-27,002774.SZ,491,5.950019480519475,2921.459564935062
2020-04-27,601919.SH,272449,2.4872201492537296,677640.6424440293
2020-04-27,000826.SZ,117325,6.847258064516127,803354.5524193546
2020-04-27,002033.SZ,87,5.551178571428573,482.95253571428583
2020-04-27,300562.SZ,48586,19.308365758754857,938116.2587548634
2020-04-27,000958.SZ,258917,3.479432624113478,900884.2567375894
2020-04-27,603659.SH,4582,59.43871243129461,272348.1803601919
2020-04-27,300171.SZ,104963,11.249502762430932,1180781.5584530379
2020-04-27,300674.SZ,17365,57.34650896057351,995822.128100359
2020-04-27,600872.SH,14941,56.02913673678806,837131.3319843505
2020-04-27,688101.SH,47028,18.81461415187375,884813.6743343188
2020-04-27,600177.SH,151735,5.691364902506969,863579.253481895
2020-04-27,002795.SZ,76731,13.551723896285903,1039837.3262859136
2020-04-27,600509.SH,349858,2.5473994638069706,891228.0816085791
2020-04-27,000411.SZ,79238,10.677021276595733,846025.8119148926
2020-04-27,603093.SH,44220,17.6547961452928,780695.0855448475
2020-04-27,600808.SH,433944,1.996440129449838,866343.2155339805
2020-04-27,002566.SZ,119104,7.377245508982033,878659.449101796
2020-04-27,002749.SZ,98820,12.488767123287674,1234139.967123288
2020-04-27,000605.SZ,86,5.070179856115113,436.0354676258997
2020-04-27,600569.SH,472544,1.647607421875,778567.0015625
2020-04-27,600702.SH,54729,21.38419243421053,1170335.467731908
2020-04-27,000966.SZ,272898,3.217690274841439,878101.240623679
2020-04-27,600728.SH,25726,9.091619318181818,233890.99857954547
2020-04-27,600333.SH,294103,2.8748952380952395,845515.3142095242
2020-04-27,300182.SZ,234570,4.517281420765028,1059618.7028688525
2020-04-27,000937.SZ,335431,2.4497282608695627,821714.8002717383
2020-04-27,000816.SZ,974065,1.0765562913907285,1048635.80397351
2020-04-27,601689.SH,103,26.70512651265125,2750.6280308030787
2020-04-27,600929.SH,17482,5.380654311649013,94064.59867624805
2020-04-27,300720.SZ,74422,13.036419178960871,970196.388136626
2020-04-27,002927.SZ,65901,12.708180263800688,837481.7875647292
2020-04-27,601015.SH,273,2.407670278637771,657.2939860681115
2020-04-27,002494.SZ,190731,3.539278052805281,675050.0422896041
2020-04-27,000680.SZ,196,3.9361013513513488,771.4758648648643
2020-04-27,002240.SZ,285,8.402129861982436,2394.607010664994
2020-04-27,601198.SH,88112,8.282970183486235,729829.0688073392
2020-04-27,000031.SZ,205887,3.752714088397792,772635.0455179561
2020-04-27,300735.SZ,28102,24.40438924168843,685812.1464699283
2020-04-27,002707.SZ,270619,3.835742496050556,1038024.7985387055
2020-04-27,000545.SZ,354173,2.045408653846153,724428.5191586536
2020-04-27,600261.SH,304895,2.641957894736841,805519.7523157892
2020-04-27,000802.SZ,90218,6.246175879396977,563517.4954874364
2020-04-27,300756.SZ,34405,22.04333711048157,758401.0132861184
2020-04-27,601588.SH,400726,2.189189189189189,877265.027027027
2020-04-27,300218.SZ,82592,6.457104114713222,533305.1430423944
2020-04-27,300221.SZ,196314,3.869914236706686,759718.3434648364
2020-04-27,002489.SZ,9445,3.5665573770491803,33686.13442622951
2020-04-27,002878.SZ,11747,30.242124463519342,355254.2360729617
2020-04-27,601226.SH,259859,3.5826112412177977,930973.7745316157
2020-04-27,002233.SZ,19619,14.299505473025809,280541.99787529337
2020-04-27,300192.SZ,50399,24.4195810055866,1230722.463100559
2020-04-27,002580.SZ,186750,5.045833333333328,942309.3749999991
2020-04-27,300707.SZ,91140,11.980212450592871,1091876.5627470342
2020-04-27,002716.SZ,577174,0.7224738675958187,416993.13205574907
2020-04-27,300564.SZ,31903,19.49891391257995,622073.8505530382
2020-04-27,603360.SH,4929,23.156960211066757,114140.65688034805
2020-04-27,002482.SZ,273550,2.7835927152317863,761451.7872516551
2020-04-27,600673.SH,162700,4.9810251256281415,810412.7879396987
2020-04-27,600279.SH,286431,2.9412199124726475,842456.5607494529
2020-04-27,600602.SH,19176,6.114759215219976,117256.62271105827
2020-04-27,600115.SH,291385,2.88259385665529,839944.6109215018
2020-04-27,603616.SH,122510,6.049880239520959,741170.8281437127
2020-04-27,603908.SH,41245,19.096326690113308,787627.9943337234
2020-04-27,300717.SZ,64329,11.792350633675316,758590.1239136994
2020-04-27,600834.SH,163081,5.18539156626506,845638.8420180723
2020-04-27,000920.SZ,162343,4.7272730654761865,767439.6912686005
2020-04-27,300468.SZ,3862,37.151076923076914,143477.45907692306
2020-04-27,300377.SZ,92107,8.578543933054391,790143.9460418408
2020-04-27,002222.SZ,96870,9.065729001584778,878197.1683835174
2020-04-27,002042.SZ,225025,3.532047297297295,794798.9430743238
2020-04-27,600015.SH,157113,5.344441558441559,839681.2465714287
2020-04-27,603103.SH,86192,10.368041054232142,893642.1945463768
2020-04-27,600138.SH,113191,8.165931640624994,924309.9683339837
2020-04-27,000045.SZ,122248,6.492601706036739,793707.5733595793
2020-04-27,002021.SZ,481088,1.76396,848619.9884799999
2020-04-27,603038.SH,60652,12.467437752355314,756175.0345558545
2020-04-27,002483.SZ,137878,4.914572599531619,677611.4408782205
2020-04-27,601339.SH,288383,2.829291044776118,815919.4393656712
2020-04-27,000592.SZ,393381,1.8845588235294128,741349.634558824
2020-04-27,603220.SH,41576,17.85416299559472,742304.680704846
2020-04-27,603661.SH,32880,28.874665292938275,949398.9948318105
2020-04-27,002425.SZ,200874,3.987829059829057,801051.174564102
2020-04-27,001872.SZ,17852,11.49440927654609,205198.1944049008
2020-04-27,601996.SH,315405,2.4299912587412607,766431.3929632873
2020-04-27,002675.SZ,197,16.437687265917607,3238.2243913857683
2020-04-27,603298.SH,88826,12.706314572089427,1128651.0981804156
2020-04-27,000766.SZ,89,4.788013698630139,426.13321917808236
2020-04-27,603860.SH,35362,28.087079710144923,993215.3127101448
2020-04-27,002535.SZ,79,1.1147703180212027,88.06685512367501
2020-04-27,000002.SZ,37757,20.53072481572481,775178.5768673216
2020-04-27,603126.SH,213243,3.672055555555556,783040.1428333335
2020-04-27,300548.SZ,7194,105.26663914120562,757288.2019818332
2020-04-27,300725.SZ,10570,87.36819976601342,923481.8715267618
2020-04-27,000809.SZ,438623,1.7135460251046015,751600.6981694556
2020-04-27,000011.SZ,109267,8.576600946372245,937139.4556072562
2020-04-27,002688.SZ,11562,8.949767884322679,103477.2162785388
2020-04-27,603458.SH,96,22.769025026068835,2185.8264025026083
2020-04-27,603995.SH,98,18.23629411764706,1787.156823529412
2020-04-27,300721.SZ,41181,16.00077702702704,658927.9987500006
2020-04-27,002471.SZ,82928,2.4401666666666677,202358.14133333342
2020-04-27,600678.SH,146317,5.134400465657739,751250.0729336435
2020-04-27,300465.SZ,17234,17.141867704280184,295422.9480155647
2020-04-27,002661.SZ,98,30.441952649869663,2983.3113596872267
2020-04-27,603279.SH,41083,19.639792899408267,806861.6116863898
2020-04-27,600035.SH,295972,2.955828488372091,874842.4693604646
2020-04-27,300803.SZ,12633,60.88871667936029,769207.1578103586
2020-04-27,002554.SZ,334054,2.2258223684210554,743544.8654605272
2020-04-27,600755.SH,160382,5.2253036437247,838044.6489878547
2020-04-28,600712.SH,294700,3.572517838939856,1052821.0071355756
2020-04-28,601899.SH,324000,3.249131578947371,1052718.6315789483
2020-04-28,002907.SZ,57000,18.467573221757323,1052651.6736401673
2020-04-28,300447.SZ,70612,11.797940881763529,833076.2015430863
2020-04-28,002524.SZ,121996,5.516739130434785,673020.106956522
2020-04-28,002774.SZ,466,5.431688311688308,2531.166753246752
2020-04-28,601919.SH,263467,2.3411940298507448,616827.3674626861
2020-04-28,000826.SZ,118358,6.834247311827955,808887.8433333331
2020-04-28,002033.SZ,83,5.150019841269843,427.45164682539695
2020-04-28,300562.SZ,46867,18.36928664072633,860913.3569909208
2020-04-28,000958.SZ,251267,3.249818262411348,816572.0853413122
2020-04-28,603659.SH,4593,59.596889252719,273728.51233773836
2020-04-28,300171.SZ,107734,11.752707182320435,1266166.1555801097
2020-04-28,300674.SZ,17251,55.91217562724018,964540.9417455203
2020-04-28,600872.SH,15450,59.558074653668506,920172.2533991784
2020-04-28,688101.SH,44102,16.73798816568046,738178.7540828396
2020-04-28,600177.SH,151023,5.653596796657387,853823.1490215885
2020-04-28,002795.SZ,76786,13.25974246671337,1018162.5850490528
2020-04-28,600509.SH,333955,2.360670241286863,788357.6304289544
2020-04-28,000411.SZ,77090,10.25790711947626,790782.0598404248
2020-04-28,603093.SH,42614,16.33569217939213,696129.1865326161
2020-04-28,600110.SH,8093,4.202417355371901,34010.163657024794
2020-04-28,600808.SH,426944,1.9385760517799349,827663.4138511325
2020-04-28,002566.SZ,116381,7.019191616766464,816900.5395508978
2020-04-28,002749.SZ,95206,11.939323126510882,1136695.197582595
2020-04-28,000605.SZ,82,4.725841726618708,387.51902158273407
2020-04-28,600569.SH,463323,1.5860156249999997,734837.5174218749
2020-04-28,600702.SH,57131,22.550723684210528,1288345.3948026316
2020-04-28,000966.SZ,281971,3.390866807610995,956126.1046088799
2020-04-28,600728.SH,25230,8.71528925619835,219886.74793388436
2020-04-28,300182.SZ,223699,4.259870218579235,952928.7080259563
2020-04-28,000937.SZ,329840,2.378838315217389,784636.0298913036
2020-04-28,000816.SZ,966455,1.0744536423841058,1038411.0949503309
2020-04-28,601689.SH,103,27.66108910891088,2849.0921782178207
2020-04-28,600929.SH,16835,5.047341149773069,84971.98825642961
2020-04-28,300720.SZ,70625,12.125311096856962,856350.096215523
2020-04-28,002927.SZ,64104,12.104799706888128,775966.0804103566
2020-04-28,601015.SH,260,2.16594427244582,563.1455108359132
2020-04-28,002494.SZ,185352,3.3396699669967007,619014.5077227724
2020-04-28,002240.SZ,271,7.5478356336261,2045.4634567126732
2020-04-28,601198.SH,88536,8.314894877675837,736167.5328899078
2020-04-28,000031.SZ,203903,3.661540055248621,746599.0018853595
2020-04-28,300735.SZ,27241,22.962991221516603,625534.8438653338
2020-04-28,603369.SH,1125,33.56027639751551,37755.31094720495
2020-04-28,000545.SZ,342884,1.908173076923076,654282.017307692
2020-04-28,600261.SH,298866,2.5604947368421045,765244.8200210524
2020-04-28,300756.SZ,32861,20.48894617563738,673287.2602776199
2020-04-28,601588.SH,397757,2.152852852852853,856312.2921921923
2020-04-28,300218.SZ,79949,6.116034912718209,488970.87523690815
2020-04-28,300221.SZ,187995,3.562504288164662,669732.9936535156
2020-04-28,002489.SZ,9155,3.406206088992973,31183.81674473067
2020-04-28,002878.SZ,11826,29.632541385653003,350434.4344267324
2020-04-28,601226.SH,250530,3.359344262295081,841616.5180327867
2020-04-28,002233.SZ,19895,14.476841282251764,288016.75731039885
2020-04-28,300192.SZ,49615,23.71615747206704,1176677.152976606
2020-04-28,002580.SZ,184615,5.000180555555551,923108.3332638881
2020-04-28,300707.SZ,100242,13.71296442687746,1374614.9800790504
2020-04-28,300564.SZ,29598,17.08102611940298,505564.21108208946
2020-04-28,002482.SZ,259521,2.495662251655628,647676.7632119203
2020-04-28,600279.SH,278626,2.818112691466083,785199.4667724288
2020-04-28,600602.SH,18987,5.937199762187872,112729.61188466112
2020-04-28,600115.SH,292095,2.872090443686007,838923.2581484643
2020-04-28,001914.SZ,904,40.49771983640079,36609.93873210631
2020-04-28,603309.SH,1567,21.920202933151455,34348.957996248326
2020-04-28,603616.SH,120784,5.8535928143712574,707020.354491018
2020-04-28,603908.SH,41413,19.02338315748338,787815.3667008593
2020-04-28,300717.SZ,62848,11.250419432709718,707066.3605069404
2020-04-28,600834.SH,160717,5.050843373493976,811756.3944578313
2020-04-28,000920.SZ,158594,4.548549107142854,721372.5970982139
2020-04-28,600313.SH,7188,5.205967741935484,37420.49612903226
2020-04-28,300468.SZ,3657,33.425902097902096,122238.52397202796
2020-04-28,300377.SZ,90827,8.272242677824266,751342.9856987447
2020-04-28,002222.SZ,94874,8.700780507131528,825477.8498335966
2020-04-28,002042.SZ,224140,3.394844594594593,760920.4674324321
2020-04-28,600015.SH,157113,5.342357142857143,839353.7577857142
2020-04-28,603103.SH,84445,9.953631525595547,840534.414178916
2020-04-28,600138.SH,111080,7.792968749999996,865642.9687499995
2020-04-28,000045.SZ,116509,5.974606299212592,696095.4053149599
2020-04-28,002021.SZ,476484,1.72845,823578.7698
2020-04-28,603038.SH,58379,11.786473755047105,688082.5513458949
2020-04-28,002483.SZ,141530,5.042037470725998,713599.5632318505
2020-04-28,601339.SH,281537,2.708930348258705,762664.1234577111
2020-04-28,000592.SZ,383251,1.7967560553633228,688608.5549740489
2020-04-28,603220.SH,41473,17.723210352422914,735034.7029460355
2020-04-28,002425.SZ,194622,3.735999999999997,727107.7919999994
2020-04-28,001872.SZ,17571,11.10678238039673,195157.27320595094
2020-04-28,000779.SZ,2862,11.527826086956528,32992.638260869586
2020-04-28,601996.SH,311807,2.363636363636365,736998.3636363641
2020-04-28,002675.SZ,199,16.68392946317104,3320.101963171037
2020-04-28,603298.SH,88826,12.664175019275245,1124908.0102621429
2020-04-28,000766.SZ,89,4.745350076103504,422.3361567732119
2020-04-28,603860.SH,34448,26.85248188405797,925014.2959420289
2020-04-28,000002.SZ,38501,21.237222819410317,817654.3157701166
2020-04-28,603126.SH,207164,3.418661616161617,708223.6150505053
2020-04-28,300548.SZ,7397,112.38867052023126,831338.9958381506
2020-04-28,300725.SZ,10619,87.4061655454811,928166.0719274639
2020-04-28,000809.SZ,429894,1.6279288702928865,699836.8537656901
2020-04-28,000011.SZ,105878,8.112841745531025,858971.4583333338
2020-04-28,603458.SH,92,21.127351407716382,1943.7163295099072
2020-04-28,603995.SH,93,16.479181985294115,1532.5639246323526
2020-04-28,300721.SZ,40235,15.03625000000001,604983.5187500004
2020-04-28,002471.SZ,80871,2.3600000000000003,190855.56000000003
2020-04-28,600678.SH,139444,4.680887660069846,652721.6988707796
2020-04-28,300465.SZ,16319,15.494039396887189,252847.22891780204
2020-04-28,002661.SZ,98,30.682710686359663,3006.905647263247
2020-04-28,603279.SH,40307,18.821538461538445,758639.7507692301
2020-04-28,600035.SH,293179,2.8867369186046496,846330.6430595926
2020-04-28,300803.SZ,13031,62.74132076669211,817582.1509107649
2020-04-28,002554.SZ,327629,2.1599506578947394,707662.4740953955
2020-04-28,600755.SH,158319,5.122881241565456,811049.4352834014
2020-04-29,002688.SZ,46000,7.599878234398782,349594.39878234395
2020-04-29,002246.SZ,46300,7.552157894736841,349664.91052631574
2020-04-29,603661.SH,15400,22.609668077522823,348188.88839385146
2020-04-29,000506.SZ,203900,1.7162116040955646,349935.54607508564
2020-04-29,002535.SZ,355600,0.983957597173146,349895.32155477075
2020-04-29,002170.SZ,71800,4.86958333333333,349636.08333333314
2020-04-29,603360.SH,35300,9.911336993725046,349870.1958784941
2020-04-29,600673.SH,79500,4.401135678391961,349890.28643216094
2020-04-29,000680.SZ,100100,3.492972972972971,349646.5945945944
2020-04-29,600333.SH,139300,2.5115904761904773,349864.55333333346
2020-04-29,300447.SZ,63530,9.612024048096192,610651.8877755511
2020-04-29,002524.SZ,120870,5.368128544423442,648845.6971644614
2020-04-29,002774.SZ,455,5.164499999999995,2349.8474999999976
2020-04-29,601919.SH,265712,2.3412779850746253,622105.6559701489
2020-04-29,000826.SZ,113487,6.466215053763439,733831.3478064514
2020-04-29,002033.SZ,85,5.2545238095238105,446.6345238095239
2020-04-29,300562.SZ,46360,17.796974708171202,825067.747470817
2020-04-29,000958.SZ,248913,3.185625000000002,792943.4756250005
2020-04-29,603659.SH,4599,59.46211554204188,273466.2693778506
2020-04-29,300171.SZ,104616,11.594046961325963,1212922.816906077
2020-04-29,300674.SZ,17094,55.431469534050215,947545.5402150544
2020-04-29,600872.SH,14644,55.702360826064606,815705.3719368901
2020-04-29,688101.SH,44585,16.732845167652847,746033.9017998022
2020-04-29,600177.SH,155290,5.88405292479109,913734.5786908084
2020-04-29,002795.SZ,78720,13.950609670637688,1098191.9932725988
2020-04-29,600509.SH,336226,2.3449865951742628,788445.4629490616
2020-04-29,000411.SZ,77436,10.196489361702117,789575.3502127652
2020-04-29,603093.SH,42004,15.923867679762775,668866.1380207556
2020-04-29,600110.SH,7966,4.077541322314051,32481.69417355373
2020-04-29,600808.SH,442691,2.0325970873786403,899812.4372087377
2020-04-29,002566.SZ,114679,6.8585553892215545,786532.2734805386
2020-04-29,002749.SZ,94420,11.719742143432716,1106578.0531829172
2020-04-29,000605.SZ,81,4.605323741007199,373.0312230215831
2020-04-29,600569.SH,467933,1.5998144531249998,748605.9764941406
2020-04-29,000966.SZ,288252,3.547172304439748,1022479.5110993662
2020-04-29,600728.SH,25037,8.60175619834711,215362.16993801657
2020-04-29,300182.SZ,231136,4.407021857923496,1018621.4041530052
2020-04-29,000937.SZ,333194,2.403029891304345,800675.14160326
2020-04-29,000816.SZ,936015,1.0141390728476818,949249.3842715229
2020-04-29,601899.SH,319919,3.25566315789474,1041548.5018105274
2020-04-29,601689.SH,106,28.937499999999996,3067.3749999999995
2020-04-29,600929.SH,16893,4.975794251134642,84056.0922844175
2020-04-29,300720.SZ,71561,12.098473380372033,865778.8535728031
2020-04-29,002927.SZ,63369,11.85418661455789,751187.9515779188
2020-04-29,601015.SH,257,2.1170897832817337,544.0920743034055
2020-04-29,002494.SZ,184938,3.3100866336633668,612160.8018564357
2020-04-29,002240.SZ,267,7.249545169385197,1935.6285602258477
2020-04-29,601198.SH,89045,8.368742354740059,745194.6629778285
2020-04-29,000031.SZ,210250,3.8176104972375713,802652.6070441994
2020-04-29,300735.SZ,28134,24.273580500560303,682912.9138027636
2020-04-29,603369.SH,1098,32.588331521739114,35781.98801086955
2020-04-29,000545.SZ,342884,1.8945432692307684,649608.5743269228
2020-04-29,600261.SH,301449,2.573421052631578,775755.2028947365
2020-04-29,300756.SZ,32601,19.897223796033984,648669.3929745039
2020-04-29,601588.SH,400725,2.172972972972973,870764.5945945946
2020-04-29,300218.SZ,79144,5.936396508728184,469830.1652867834
2020-04-29,300221.SZ,188410,3.560673241852484,670866.4454974264
2020-04-29,002489.SZ,9299,3.462248243559719,32195.446416861825
2020-04-29,002878.SZ,11248,27.98862737584307,314816.0807234828
2020-04-29,601226.SH,250530,3.3109133489461358,829483.1213114754
2020-04-29,002233.SZ,19516,14.010207193119632,273423.20358092274
2020-04-29,300192.SZ,48426,22.75369587988827,1101870.4766794692
2020-04-29,002580.SZ,181413,4.866249999999995,882801.011249999
2020-04-29,300707.SZ,104024,14.858695652173896,1545660.9565217374
2020-04-29,300564.SZ,29609,16.581240671641787,490953.95504664164
2020-04-29,002482.SZ,259521,2.442367549668873,633845.6688576156
2020-04-29,600279.SH,277845,2.7751641137855585,771065.4731947485
2020-04-29,600602.SH,18664,5.770267538644473,107696.27334126044
2020-04-29,002907.SZ,58074,18.570696353855343,1078474.6200537952
2020-04-29,600115.SH,295648,2.9372013651877134,868377.709215017
2020-04-29,001914.SZ,930,42.5388778118609,39561.156365030634
2020-04-29,603616.SH,118885,5.703847305389221,678101.8869011976
2020-04-29,603908.SH,41469,19.14430246189917,793895.0787924967
2020-04-29,300717.SZ,63171,11.199260712130355,707468.4984459867
2020-04-29,600834.SH,161242,5.034471218206158,811768.2081659973
2020-04-29,000920.SZ,158305,4.481049107142854,709372.4789062495
2020-04-29,600313.SH,6833,4.9339516129032255,33713.69137096774
2020-04-29,300468.SZ,3602,32.14492587412587,115786.02299860137
2020-04-29,300377.SZ,90827,8.288878661087864,752853.9821506274
2020-04-29,002222.SZ,95599,8.75479793977812,836949.9282448485
2020-04-29,002042.SZ,221045,3.359797297297296,742666.3935810808
2020-04-29,603103.SH,85288,10.137354282818052,864594.672072986
2020-04-29,600015.SH,160783,5.541837662337662,891033.2848636364
2020-04-29,600138.SH,112079,7.888724609374994,884160.36549414
2020-04-29,000045.SZ,113552,5.662332677165348,642969.2001574796
2020-04-29,002021.SZ,476484,1.70982,814701.8728799999
2020-04-29,603038.SH,57264,11.23294078061911,643243.1208613727
2020-04-29,002483.SZ,137573,4.840210772833725,665882.3166510541
2020-04-29,601339.SH,281537,2.68847014925373,756903.8204104474
2020-04-29,000592.SZ,379874,1.763408304498271,669872.9662629762
2020-04-29,603220.SH,39732,16.942951541850224,673177.3506607931
2020-04-29,002425.SZ,200456,3.891166666666664,780007.7053333329
2020-04-29,001872.SZ,18196,12.044874562427069,219168.53753792294
2020-04-29,000779.SZ,2814,10.974000000000002,30880.836000000007
2020-04-29,601996.SH,307009,2.31832167832168,711745.6201398605
2020-04-29,002675.SZ,194,16.2,3142.7999999999997
2020-04-29,603298.SH,88895,12.73852158828064,1132390.8765902075
2020-04-29,000766.SZ,86,4.564577625570779,392.553675799087
2020-04-29,000002.SZ,39186,21.963989557739552,860680.894809582
2020-04-29,603126.SH,207670,3.4063131313131314,707389.047979798
2020-04-29,300548.SZ,7288,110.96551782273605,808716.6938921004
2020-04-29,300725.SZ,10937,93.01923369406256,1017351.3589119622
2020-04-29,000809.SZ,438622,1.6778033472803338,735921.4597907945
2020-04-29,000011.SZ,107209,8.179894847528923,876958.3467087282
2020-04-29,603458.SH,92,21.077162408759136,1939.0989416058405
2020-04-29,603995.SH,93,16.22471691176471,1508.8986727941178
2020-04-29,300721.SZ,40258,15.042871621621632,605595.9257432437
2020-04-29,002471.SZ,79842,2.2596145833333336,180412.14756250003
2020-04-29,600678.SH,142325,4.764551804423746,678114.8355646097
2020-04-29,300465.SZ,16214,15.044710603112865,243934.93771887198
2020-04-29,002661.SZ,97,30.30017376194612,2939.116854908774
2020-04-29,603279.SH,41121,19.29622667273553,793480.1370095577
2020-04-29,600035.SH,300624,3.028124999999999,910327.0499999997
2020-04-29,300803.SZ,13286,64.91266945925366,862429.7264356442
2020-04-29,002554.SZ,330198,2.143075657894739,707639.296085527
2020-04-29,600755.SH,159350,5.13957489878543,818991.2601214582
2020-04-30,002707.SZ,15500,4.098246445497634,63522.81990521333
2020-04-30,603860.SH,2800,22.147956521739125,62014.27826086955
2020-04-30,600702.SH,3300,18.848588815789476,62200.34309210527
2020-04-30,603309.SH,3400,18.49744542974081,62891.31446111876
2020-04-30,002392.SZ,17300,3.673984962406018,63559.93984962411
2020-04-30,600053.SH,2500,24.771853771898463,61929.63442974616
2020-04-30,002246.SZ,47223,7.702799342105262,363749.2933322368
2020-04-30,300447.SZ,68691,10.442404809619235,717299.2287775549
2020-04-30,002524.SZ,120709,5.313076559546315,641336.1584262761
2020-04-30,002774.SZ,462,5.240772727272724,2421.2369999999983
2020-04-30,601919.SH,269454,2.411194029850744,649705.8761194025
2020-04-30,000826.SZ,119390,6.874325268817202,820725.6938440858
2020-04-30,002033.SZ,87,5.558142857142859,483.55842857142875
2020-04-30,300562.SZ,47064,18.002261673151747,847258.4433852138
2020-04-30,000958.SZ,252443,3.247925531914895,819916.0650531919
2020-04-30,300171.SZ,103461,11.25259668508287,1164204.9056353588
2020-04-30,300674.SZ,17700,58.62272580645165,1037622.2467741942
2020-04-30,688101.SH,46712,17.998180473372766,840731.0062721886
2020-04-30,600872.SH,15080,56.80071318624932,856554.7548486397
2020-04-30,600177.SH,155764,5.98437325905293,932149.9163231206
2020-04-30,002795.SZ,82644,15.319297477224929,1266048.020707777
2020-04-30,600509.SH,343041,2.42490616621984,831842.2361662202
2020-04-30,000411.SZ,78544,10.442172667757768,820170.0100163661
2020-04-30,603093.SH,43893,16.968569310600436,744801.412750185
2020-04-30,600808.SH,458438,2.183333333333333,1000922.9666666666
2020-04-30,002566.SZ,117911,7.116736526946103,839141.520628742
2020-04-30,002749.SZ,94498,11.625284045124904,1098566.0916962132
2020-04-30,000605.SZ,83,4.763302158273386,395.35407913669104
2020-04-30,600569.SH,472543,1.6295898437499998,770051.2735351562
