model,Total Return,Annual Return,Sharpe Ratio,Max Drawdown,Win Rate,Trading Days
linear,-0.9999614937679985,-0.8407881168927634,-1.4678346930181625,-0.9999615486717975,0.3314203730272597,1394
ridge,-0.9999614937679985,-0.8407881168927634,-1.4678346930181625,-0.9999615486717975,0.3314203730272597,1394
rf,-0.9999614937679985,-0.8407881168927634,-1.4678346930181625,-0.9999615486717975,0.3314203730272597,1394
gbdt,-0.9999614937679985,-0.8407881168927634,-1.4678346930181625,-0.9999615486717975,0.3314203730272597,1394
