date,portfolio_nav,benchmark_nav
2020-04-03,100000000.0,22.009609950859957
2020-04-07,99861333.09448397,22.50567874692875
2020-04-08,97672361.13822497,22.32314496314497
2020-04-09,100142787.7829808,21.878258599508605
2020-04-10,93792203.36365674,22.19085995085996
2020-04-13,89386987.04800104,22.4558230958231
2020-04-14,90206992.52087241,22.97366400491401
2020-04-15,86554222.72746252,21.894656019656026
2020-04-16,86099262.61926438,21.69829238329238
2020-04-17,86460389.84792447,21.92746928746928
2020-04-20,82989689.23799948,21.698292383292376
2020-04-21,81020630.40352361,20.793624078624077
2020-04-22,81221057.29400493,20.969806511056504
2020-04-23,81630794.96604101,20.76167076167076
2020-04-24,77841671.39938816,20.253759213759206
2020-04-27,74356477.13980402,20.57046683046682
2020-04-28,70649244.7819972,21.38919226044225
2020-04-29,70125358.84951897,22.15785012285012
2020-04-30,71973699.1960289,22.05896805896805
2020-05-06,72882917.23843262,21.17898034398034
2020-05-07,72985865.8856084,20.713786855036847
2020-05-08,73169302.09475096,21.17898034398034
2020-05-11,72202727.36341861,21.421624692874683
2020-05-12,70545713.36339505,20.65002764127763
2020-05-13,69979114.22897309,20.65002764127763
2020-05-14,68925594.01325774,19.955162776412767
2020-05-15,66504134.70964651,19.955162776412767
2020-05-18,63228099.6242742,21.09840601965601
2020-05-19,64548303.73337581,20.9698065110565
2020-05-20,62642829.66389983,20.143492014742005
2020-05-21,62303703.513762504,20.09632678132677
2020-05-22,58008095.11806328,19.44181818181817
2020-05-25,54221560.831174046,19.908218673218663
2020-05-26,54638597.18646757,20.491059582309568
2020-05-27,53695121.29627503,20.602272727272712
2020-05-28,52644893.77925522,20.98585995085994
2020-05-29,51828472.349360965,20.2853194103194
2020-06-01,55123294.60865881,21.40540540540539
2020-06-02,57479669.96438392,22.789238329238312
2020-06-03,56836229.578689806,22.124864864864847
2020-06-04,57092020.47465105,21.94388513513512
2020-06-05,55106231.01383866,21.42162469287468
2020-06-08,54902241.46376472,21.730958230958212
2020-06-09,55266734.06300198,21.470319410319394
2020-06-10,54800564.65544046,21.05013513513512
2020-06-11,53089554.1069177,20.60227272727271
2020-06-12,52195950.12905945,20.301108722358705
2020-06-15,52828869.89178614,20.127764127764117
2020-06-16,53503045.64418809,20.475196560196544
2020-06-17,52377706.41226685,20.2537592137592
2020-06-18,51419368.87003748,20.58636670761669
2020-06-19,52223463.1224909,20.681894963144945
2020-06-22,53194621.52098504,20.269536240786223
2020-06-23,53726288.846715875,20.04921683046681
2020-06-24,52524492.329721704,21.405405405405386
2020-06-29,50976274.48033584,20.63410319410318
2020-06-30,52310512.39699412,20.985859950859933
2020-07-01,52108809.81180313,24.233664004913983
2020-07-02,51116015.45497181,24.75405712530711
2020-07-03,53407941.45405497,25.20953624078622
2020-07-06,49006977.60137254,29.552837837837817
2020-07-07,50773441.16054593,28.196867321867305
2020-07-08,52074411.850582555,28.383292383292364
2020-07-09,54351666.05455605,28.814401105651086
2020-07-10,53875978.57959389,26.132951474201462
2020-07-13,46367765.020676844,26.18673218673217
2020-07-14,46447120.23545581,25.722469287469277
2020-07-15,43665310.02903811,24.56260442260441
2020-07-16,38016783.43817772,23.29396805896804
2020-07-17,37660540.931813955,22.7725092137592
2020-07-20,37579713.98208577,24.597358722358702
2020-07-21,37336450.213693835,24.09582616707615
2020-07-22,36576120.10250505,23.87267813267811
2020-07-23,36096400.17628848,23.2601474201474
2020-07-24,32074930.278696746,22.43921683046681
2020-07-27,29857752.404429253,21.8618673218673
2020-07-28,30456944.272162173,22.174351965601943
2020-07-29,32615015.364665445,22.57223894348892
2020-07-30,33212791.653089907,22.19085995085993
2020-07-31,33908139.42593059,22.124864864864843
2020-08-03,34903414.90032358,22.8562162162162
2020-08-04,35088597.45346378,23.63352579852577
2020-08-05,34068281.89563597,22.973664004913985
