Strategy,Annual Return,Sharpe Ratio,Max Drawdown,Win Rate
Base Strategy,0.001769620982392306,-0.047296233776667175,-0.8321928011170971,0.48708751793400284
ML Enhanced,0.039636772874720005,0.016205356613731934,-0.8321928011170971,0.4913916786226686
