Metric,Strategy,Benchmark,Excess
Total Return,-0.9999078526197288,-0.9698276481584924,-1.0001538647703585
Annual Return,-0.813585184120917,-0.46893004975262165,
Annual Volatility,0.6067018110382852,0.7374839539206002,0.9570791053395161
Sharpe Ratio,-1.3904444799286804,-0.6765300412303452,
Max Drawdown,-0.9999078714719869,-0.980980708398307,-1.0001915301083926
Win Rate,0.1800573888091822,0.43113342898134865,0.5186513629842181
Profit Factor,0.377010473282768,0.913482956181105,0.8210353153979735
Trading Days,1394.0,1394.0,1394.0
